HP:0000002	Abnormality of body height	height|abnorm|bodi
HP:0000003	Multicystic kidney dysplasia	multicyst|kidney|dysplasia
HP:0000008	Abnormality of female internal genitalia	femal|intern|abnorm|genitalia
HP:0000009	Functional abnormality of the bladder	bladder|function|abnorm
HP:0000010	Recurrent urinary tract infections	recurr|urinari|infect|tract
HP:0000011	Neurogenic bladder	neurogen|bladder
HP:0000012	Urinary urgency	urgenc|urinari
HP:0000013	Hypoplasia of the uterus	hypoplasia|uterus
HP:0000014	Abnormality of the bladder	bladder|abnorm
HP:0000015	Bladder diverticulum	bladder|diverticulum
HP:0000016	Urinary retention	urinari|retent
HP:0000017	Nocturia	nocturia
HP:0000019	Urinary hesitancy	urinari|hesit
HP:0000020	Urinary incontinence	urinari|incontin
HP:0000021	Megacystis	megacystis
HP:0000022	Abnormality of male internal genitalia	male|intern|abnorm|genitalia
HP:0000023	Inguinal hernia	inguin|hernia
HP:0000024	Prostatitis	prostatitis
HP:0000025	Functional abnormality of male internal genitalia	male|intern|function|abnorm|genitalia
HP:0000026	Male hypogonadism	male|hypogonad
HP:0000027	Azoospermia	azoospermia
HP:0000028	Cryptorchidism	cryptorchidism
HP:0000029	Testicular atrophy	testicular|atrophi
HP:0000030	Testicular gonadoblastoma	testicular|gonadoblastoma
HP:0000031	Epididymitis	epididymitis
HP:0000032	Abnormality of male external genitalia	extern|male|abnorm|genitalia
HP:0000033	Ambiguous genitalia, male	male|genitalia|ambigu
HP:0000034	Hydrocele testis	hydrocel|testi
HP:0000035	Abnormality of the testis	abnorm|testi
HP:0000036	Abnormality of the penis	abnorm|peni
HP:0000037	Male pseudohermaphroditism	male|pseudohermaphrodit
HP:0000039	Epispadias	epispadias
HP:0000040	Enlarged penis	enlarg|peni
HP:0000041	Chordee	chordee
HP:0000042	Absent external genitalia	extern|absent|genitalia
HP:0000044	Hypogonadotrophic hypogonadism	hypogonad|hypogonadotroph
HP:0000045	Abnormality of the scrotum	abnorm|scrotum
HP:0000046	Scrotal hypoplasia	scrotal|hypoplasia
HP:0000047	Hypospadias	hypospadias
HP:0000048	Bifid scrotum	bifid|scrotum
HP:0000049	Shawl scrotum	scrotum|shawl
HP:0000050	Hypoplastic male external genitalia	extern|male|genitalia|hypoplast
HP:0000051	Perineal hypospadias	hypospadia|perin
HP:0000052	Urethral atresia, male	male|atresia|urethr
HP:0000053	Macroorchidism	macroorchidism
HP:0000054	Micropenis	micropenis
HP:0000055	Abnormality of female external genitalia	femal|extern|abnorm|genitalia
HP:0000056	Abnormality of the clitoris	clitori|abnorm
HP:0000057	Clitoromegaly	clitoromegaly
HP:0000058	Abnormality of the labia	labia|abnorm
HP:0000059	Hypoplastic labia majora	labia|majora|hypoplast
HP:0000060	Clitoral hypoplasia	clitor|hypoplasia
HP:0000061	Ambiguous genitalia, female	femal|genitalia|ambigu
HP:0000062	Ambiguous genitalia	genitalia|ambigu
HP:0000063	Fused labia minora	labia|fuse|minora
HP:0000064	Hypoplastic labia minora	labia|minora|hypoplast
HP:0000065	Labial hypertrophy	labial|hypertrophi
HP:0000066	Labial hypoplasia	labial|hypoplasia
HP:0000067	Urethral atresia, female	femal|atresia|urethr
HP:0000068	Urethral atresia	atresia|urethr
HP:0000069	Abnormality of the ureter	abnorm|uret
HP:0000070	Ureterocele	ureterocele
HP:0000071	Ureteral stenosis	ureter|stenosi
HP:0000072	Hydroureter	hydroureter
HP:0000073	Ureteral duplication	ureter|duplic
HP:0000074	Ureteropelvic junction obstruction	junction|ureteropelv|obstruct
HP:0000075	Renal duplication	renal|duplic
HP:0000076	Vesicoureteral reflux	vesicoureter|reflux
HP:0000077	Abnormality of the kidney	kidney|abnorm
HP:0000078	Abnormality of the genital system	system|genit|abnorm
HP:0000079	Abnormality of the urinary system	system|urinari|abnorm
HP:0000080	Abnormality of reproductive system physiology	system|physiolog|abnorm|reproduct
HP:0000081	Duplicated collecting system	system|duplic|collect
HP:0000083	Renal insufficiency	renal|insuffici
HP:0000085	Horseshoe kidney	horsesho|kidney
HP:0000086	Ectopic kidney	ectop|kidney
HP:0000089	Renal hypoplasia	renal|hypoplasia
HP:0000090	Nephronophthisis	nephronophthisis
HP:0000091	Abnormality of the renal tubule	renal|abnorm|tubul
HP:0000092	Tubular atrophy	tubular|atrophi
HP:0000093	Proteinuria	proteinuria
HP:0000095	Abnormality of the glomerulus	abnorm|glomerulus
HP:0000096	Glomerulosclerosis	glomerulosclerosis
HP:0000097	Focal segmental glomerulosclerosis	glomerulosclerosi|segment|focal
HP:0000098	Tall stature	tall|statur
HP:0000099	Glomerulonephritis	glomerulonephritis
HP:0000100	Nephrotic syndrome	nephrot|syndrom
HP:0000103	Polyuria	polyuria
HP:0000104	Renal agenesis	renal|agenesi
HP:0000105	Enlarged kidneys	enlarg|kidney
HP:0000107	Renal cyst	renal|cyst
HP:0000108	Renal corticomedullary cysts	renal|cyst|corticomedullari
HP:0000110	Renal dysplasia	renal|dysplasia
HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia	juxtaglomerular|renal|hypertrophi|cell|hyperplasia
HP:0000112	Nephropathy	nephropathy
HP:0000113	Polycystic kidney dysplasia	kidney|polycyst|dysplasia
HP:0000114	Proximal tubulopathy	proxim|tubulopathi
HP:0000117	Renal phosphate wasting	renal|wast|phosphat
HP:0000118	Phenotypic abnormality	phenotyp|abnorm
HP:0000119	Abnormality of the genitourinary system	system|genitourinari|abnorm
HP:0000121	Nephrocalcinosis	nephrocalcinosis
HP:0000122	Unilateral renal agenesis	unilater|renal|agenesi
HP:0000123	Nephritis	nephritis
HP:0000124	Renal tubular dysfunction	renal|dysfunct|tubular
HP:0000125	Pelvic kidney	pelvic|kidney
HP:0000126	Hydronephrosis	hydronephrosis
HP:0000127	Renal salt wasting	renal|wast|salt
HP:0000128	Renal potassium wasting	renal|wast|potassium
HP:0000130	Abnormality of the uterus	abnorm|uterus
HP:0000131	Uterine leiomyoma	leiomyoma|uterin
HP:0000132	Menorrhagia	menorrhagia
HP:0000133	Gonadal dysgenesis	gonad|dysgenesi
HP:0000134	Female hypogonadism	femal|hypogonad
HP:0000135	Hypogonadism	hypogonadism
HP:0000136	Bifid uterus	bifid|uterus
HP:0000137	Abnormality of the ovary	abnorm|ovari
HP:0000138	Ovarian cyst	cyst|ovarian
HP:0000139	Uterine prolapse	uterin|prolaps
HP:0000140	Abnormality of the menstrual cycle	menstrual|abnorm|cycl
HP:0000141	Amenorrhea	amenorrhea
HP:0000142	Abnormality of the vagina	vagina|abnorm
HP:0000143	Rectovaginal fistula	fistula|rectovagin
HP:0000144	Decreased fertility	decreas|fertil
HP:0000145	Transverse vaginal septum	vagin|septum|transvers
HP:0000147	Polycystic ovaries	polycyst|ovari
HP:0000148	Vaginal atresia	atresia|vagin
HP:0000149	Ovarian gonadoblastoma	ovarian|gonadoblastoma
HP:0000150	Gonadoblastoma	gonadoblastoma
HP:0000151	Aplasia of the uterus	aplasia|uterus
HP:0000152	Abnormality of head and neck	neck|abnorm|head
HP:0000153	Abnormality of the mouth	mouth|abnorm
HP:0000154	Wide mouth	mouth|wide
HP:0000155	Oral ulcer	ulcer|oral
