AAA	Abdominal aortic aneurysm
AAA	associated with diverse cellular activities
AAA	Aleuria aurantia agglutinin
AAAA	tetraploid Musa acuminata
AAAH	Aromatic amino acid hydroxylase
AAAs	abdominal aortic aneurysms
AAB	acidic aniline blue
AABR	automated auditory brainstem response
AAC	associations of acrocentric chromosomes
AACF	atypical acinar cell foci
AAD	age at diagnosis
AAD	acidic activation domain
AADC	Aromatic acid decarboxylase
AADM	Africa America Diabetes Mellitus
AAE	Adh adult enhancer
AAF	aggregative adherence fimbriae
AAF	acetyl amino fluorene
AAF	amino acetyl fluorene
AAG	acid glycoprotein
AAH	associated with atypical adenomatous hyperplasia
AAH	Atypical adenomatous hyperplasia
AAH	one atypical adenomatous hyperplasia
AAH	alterations of atypical adenomatous hyperplasia
AAH	associated multiple atypical adenomatous hyperplasia
AAH	named adenomatous hyperplasia
AAHPC	African American Hereditary Prostate Cancer
AAI	AA aristolochic acid I
AAII	aristolochic acid II
AAL	Alternaria alternata lycopersici
aALL	adult acute lymphoblastic leukemia
AAMM	acute agnogenic myeloid metaplasia
AAO	age at onset
Aap	amino acid permease
AAPC	attenuated adenomatous polyposis coli
AAR	age of adiposity rebound
aar	abnormal anaphase resolution
AAS	atomic absorption spectrophotometry
AATP	acquired amegakaryocytic thrombocytopenic purpura
AAU	among acute anterior uveitis
AAU	Acute anterior uveitis
AAV	antiviral As virus
AAV	amplicon vectors and virus
AAV	Adenoassociated virus
AAV	Adenovirus and virus
ABA	Agaricus bisporus agglutinin
ABAE	adult bovine aortic endothelial
ABC	Aneurysmal bone cyst
ABC	acute blast crisis
ABC	ATP binding cassette
ABC	Autism Behavior Checklist
ABC	Active biological containment
ABC	acute blastic crisis
ABCC	Atomic Bomb Casualty Commission
ABCs	Active Bacterial Core Surveillance
ABD	actin binding domain
ABFII	autonomously replicating sequence binding factor II
ABH	Ateles belzebuth hybridus
ABI	anaphase bridge index
ABI	high anaphase bridge index
ABI	acute bladder infection
ABL	acute biphenotypic leukemia
ABL	acute basophilic leukemia
ABL	advanced breeding line
ABL	the avian blastic leukemia
ABM	Agaricus blazei Murill
ABMT	autologous bone marrow transplantation
ABMT	autologous bone marrow transplant
ABMT	after autologous bone marrow transplant
ABMT	after autologous bone marrow transplantation
ABMT	autologous bone marrow transplants
ABP	amount of androgen binding protein
ABP	amiloride binding protein
Abpa	Androgen binding protein alpha
Abpb	Androgen binding protein beta
Abpg	Androgen binding protein gamma
ABPI	ankle brachial pressure indices
ABPM	ambulatory blood pressure monitoring
ABR	auditory brainstem response
ABR	alternative breakpoint region
ABR	auditory brainstem responses
ABR	abnormally banded region
ABR	an abnormally banded region
ABR	audiometry and auditory brainstem response
ABR	analysis for auditory brainstem response
ABR	abnormally banding region
ABR	characteristic abnormally banding region
ABR	analysis of auditory brainstem response
ABRC	Arabidopsis Biological Resource Center
ABRs	abnormally banded regions
ABRs	abnormally banding regions
ABS	activation binding site
aBS	Antenatal Bartter syndrome
ABS	acute bacterial sinusitis
ABSCT	autologous blood stem cell transplantation
ACA	additional chromosomal abnormalities
ACA	acrodermatitis chronica atrophicans
ACA	amyloid congophilic angiopathy
ACA	acrocentric chromosome associations
ACA	acrocentric chromosome association
ACACA	Assignment of A carboxylase alpha
ACAID	anterior chamber associated immune deviation
ACASS	Alberta Congenital Anomalies Surveillance System
ACAT	acyl CoA acyltransferase
ACAT	Acyl coenzyme acyltransferase
ACC	adenoid cystic carcinoma
ACC	Adenoid cystic carcinomas
ACC	anterior cingulate cortex
ACC	apoptotic chromatin condensation
ACC	anterior cingulate
ACC	abnormal chromatin clumping
ACCs	Acinar cell carcinomas
ACCS	Abnormal chromatin clumping syndrome
ACCs	activity of adenoid cystic carcinomas
ACD	acampomelic campomelic dysostosis
ACD	Avellino corneal dystrophy
ACD	single accelerated cell death
ACD	Ancient Conserved Domain
ACDP	ancient conserved domain proteins
ACDP	ancient conserved domain protein
ACE	angiotensin converting enzyme
Ace	Accessory cholera enterotoxin
ACE	amplification control element
ACE	Artificial Chromosome Expression
ACEs	Artificial Chromosome Expression systems
ACEs	adenylation control elements
ACF	aberrant crypt foci
ACF	aberrant crypt focus
ACF	induces aberrant crypt foci
