MIR770	MIRN770|hsa-mir-770	microRNA 770
TMEM33	FLJ10525	transmembrane protein 33
XIRP2	CMYA3	xin actin-binding repeat containing 2
FRA5E		fragile site, aphidicolin type, common, fra(5)(p14)
KPNA6	MGC17918|IPOA7|FLJ11249|KPNA7	karyopherin alpha 6 (importin alpha 7)
NT5CP1		5',3'-nucleotidase, cytosolic pseudogene 1
GPR89P	C11H1.2-Lp	G protein-coupled receptor 89 pseudogene
FABP5P3	TCAG_1781704|FABP5L3	fatty acid binding protein 5 pseudogene 3
TAF1A	SL1|TAFI48	TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa
ARHGAP39	CrGAP|Vilse|KIAA1688	crossGAP homolog (Drosophila)|Rho GTPase activating protein 39|RhoGAP93B homolog (Drosophila)
HMG1P		high-mobility group (nonhistone chromosomal) protein 1 pseudogene
RNU6-828P		RNA, U6 small nuclear 828, pseudogene
CST8	CTES5|CRES	cystatin 8 (cystatin-related epididymal specific)
SPSB2	GRCC9|SSB-2	splA/ryanodine receptor domain and SOCS box containing 2
MIR23B	hsa-mir-23b|MIRN23B	microRNA 23b
CAAP1	CAAP|C9orf82|FLJ13657	caspase activity and apoptosis inhibitor 1|conserved anti-apoptotic protein
ITFG1	CDA08|TIP	T cell immunomodulatory protein|integrin alpha FG-GAP repeat containing 1
FAM136A	FLJ14668	hypothetical protein FLJ14668|family with sequence similarity 136, member A
SLC22A3	OCT3|EMT	solute carrier family 22 (organic cation transporter), member 3|solute carrier family 22 (extraneuronal monoamine transporter), member 3
HIST3H2BA		histone cluster 3, H2ba, pseudogene
TRAF6P1		TNF receptor-associated factor 6 pseudogene 1
DDOST	OST|WBP1|KIAA0115|OST48	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic)|oligosaccharyltransferase subunit 48
TRSUP-TTA3-1	TRNASUP5P	transfer RNA suppressor 5 (anticodon UUA) pseudogene
ERVK-26		endogenous retrovirus group K, member 26
TRC-GCA24-1	TRNAC1|TRC	transfer RNA cysteine 1 (anticodon GCA)
MS4A10	MS4A9|CD20L7	membrane-spanning 4-domains, subfamily A, member 10
GVINP1	GVIN1|VLIG1|FLJ13373|VLIG-1|GVIN1P	GTPase, very large interferon inducible pseudogene 1|very large inducible GTPase 1
SRIP2		sorcin pseudogene 2
SETD8P1	SET07p	SET domain containing 8 pseudogene 1
MIR1226	hsa-mir-1226|MIRN1226	microRNA 1226
GCLM	GLCLR	glutamate-cysteine ligase, modifier subunit|gamma-glutamylcysteine synthetase
TRK-CTT16-1	TRNAK42P	transfer RNA lysine 42 (anticodon CUU) pseudogene
RPL26P2		ribosomal protein L26 pseudogene 2
RNU6-176P		RNA, U6 small nuclear 176, pseudogene
TRHR		thyrotropin-releasing hormone receptor
PRKAB1		protein kinase, AMP-activated, beta 1 non-catalytic subunit|AMPK beta 1
RAB25	CATX-8	RAB25, member RAS oncogene family
RNU6-662P		RNA, U6 small nuclear 662, pseudogene
FRA6G		fragile site, aphidicolin type, common, fra(6)(q15)
VEZF1P1	VEZF1L1|ZNF161L1	zinc finger protein 161-like 1|vascular endothelial zinc finger 1 pseudogene 1
EIF4BP4		eukaryotic translation initiation factor 4B pseudogene 4
TUBA1C	TUBA6|bcm948|MGC14580|MGC10851	tubulin, alpha 1c
FBXO9	FBX9|NY-REN-57	F-box protein 9
GNS		Sanfilippo disease IIID|glucosamine (N-acetyl)-6-sulfatase|N-acetylglucosamine-6-sulfatase
FAM150A	UNQ9433	family with sequence similarity 150, member A
CD300LD	CD300D|CMRF35A4	CD300 molecule-like family member d
LGR6	FLJ14471	leucine-rich repeat containing G protein-coupled receptor 6
RN7SL728P		RNA, 7SL, cytoplasmic 728, pseudogene
TECPR1	DKFZP434B0335|FLJ90593|FLJ23419|KIAA1358	tectonin beta-propeller repeat containing 1
ATP2C2	SPCA2|KIAA0703	secretory pathway calcium ATPase 2|ATPase, Ca++ transporting, type 2C, member 2
ERVW-19		endogenous retrovirus group W, member 19
MRGPRX3	MRGX3	MAS-related GPR, member X3
PPIAP24		peptidylprolyl isomerase A (cyclophilin A) pseudogene 24
EPB41L4B	EHM2	erythrocyte membrane protein band 4.1 like 4B
AAR2	C20orf4|bA234K24.2	AAR2 splicing factor homolog (S. cerevisiae)
ARID2	FLJ30619|KIAA1557|DKFZp686G052|BAF200	AT rich interactive domain 2 (ARID, RFX-like)
RPS15AP9		ribosomal protein S15a pseudogene 9
WASH5P		WAS protein family homolog 5 pseudogene
PAX5	BSAP	B-cell lineage specific activator|paired box 5
LASP1	Lasp-1|MLN50	LIM and SH3 protein 1
RNA5SP496	RN5S496	RNA, 5S ribosomal pseudogene 496
RPSAP62		ribosomal protein SA pseudogene 62
PIRC3		piwi-interacting RNA cluster 3
SYNPO	KIAA1029	synaptopodin
ACAN	CSPG1|CSPGCP|MSK16|AGC1	aggrecan proteoglycan|aggrecan
ZNF219		zinc finger protein 219
PHBP2		prohibitin pseudogene 2
OR52T1P		olfactory receptor, family 52, subfamily T, member 1 pseudogene
SRBD1	FLJ10379	S1 RNA binding domain 1
ATP5L2	ATP5K2|dJ222E13.5	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G2
MIR3670-2	hsa-mir-3670-2	microRNA 3670-2
LINC01361		
ELMOD3	RBM29|RBED1|DFNB88|FLJ21977	ELMO/CED-12 domain containing 3
TAS1R1	TR1|GPR70|T1R1	taste receptor, type 1, member 1
RPS20P22		ribosomal protein S20 pseudogene 22
GPR12	GPCR21|PPP1R84	G protein-coupled receptor 12
CRNKL1	Clf1|CLF|SYF3|CRN	crooked neck pre-mRNA splicing factor-like 1 (Drosophila)|crooked neck pre-mRNA splicing factor 1
IL6STP1	IL6STP	interleukin 6 signal transducer (gp130, oncostatin M receptor) pseudogene 1
PHOX2A	FEOM2|ARIX|CFEOM2|PMX2A	paired-like homeobox 2a
CADM2	NECL3|IGSF4D|SynCAM2|Necl-3	cell adhesion molecule 2|nectin-like 3
RN7SL530P		RNA, 7SL, cytoplasmic 530, pseudogene
SETP15		SET pseudogene 15
B4GALNT1	GALGT|SPG26|beta1-4GalNAc-T	spastic paraplegia 26|beta-1,4-N-acetyl-galactosaminyl transferase 1|GD2 synthase, GM2 synthase
RTTN	DKFZP434G145	rotatin
RPS18P12		ribosomal protein S18 pseudogene 12
ZNF257	BMZF-4	zinc finger protein 257
SCA20		spinocerebellar ataxia 20
ACAP2	CENTB2|KIAA0041|CNT-B2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
SH3RF3	SH3MD4|FLJ00204|POSH2	SH3 domain containing ring finger 3
FAM81A	MGC26690	family with sequence similarity 81, member A
TSPYL2	CTCL|CINAP|SE20-4|HRIHFB2216|DENTT|TSPX|CDA1	TSPY-like 2
APOC4		apolipoprotein C-IV
TRR-TCG4-1	TRR3|TRNAR3	transfer RNA arginine 3 (anticodon UCG)
