mention_id	entity_name	mention_pos	words	sentences_before	sentences_after
MENTION_HPOTERM_journal.pone.0063462.pdf_422_30_30	HP:0009733|Glioma	{30}	{Boxerman,],L,",",Schmainda,K1,"\\\\",’,I,",","\\\\",/,Veisskoff,RNI,(,2006,),Relative,cerebral,blood,volume,maps,corrected,for,contrast,agent,extravasation,significantly,correlate,with,glioma,tumor,grade,",",whereas,uncorrected,maps,do,not,.}	{"1 \\\\ ’ Iagnet Reson 1 \\\\ ’ Ied 14 : 249 * 265 .",.}	{"Am ] Neuroradiol 27 : 859 — 867 .",.}
MENTION_HPOTERM_journal.pone.0031900.pdf_163_17_18	HP:0000819|Diabetes mellitus	{17,18}	{Metformin,was,chosen,for,use,in,this,study,because,of,its,widespread,use,in,the,treatment,of,diabetes,mellitus}	{"Similarly , metformin also failed to demonstrate therapeutic beneﬁt in this model .","Mice were treated with a conventional , relatively high dose of drug [ 21 ] , and our analyses indicated that there was induction of AMPK activation in response to treatment ( Figures 3 and 4 ) ."}	{"Figure 2 .","Renal cystadenoma histology in the treated mice ."}
MENTION_HPOTERM_journal.pone.0079370.pdf_154_238_238	HP:0002829|Arthralgia	{238}	{N,20,26,30,CD45,+,cell,absolute,count,x106/mL,",",1.89,1.91,1.86,median,(,range,),(,1,.25,-2.63,),(,0.89-12,.3,),(,1,.31,-3.01,),CD3,+,cell,absolute,count,x106/mL,",",1.34,1.42,1.41,median,(,range,),(,0.93-1,.80,),(,0.51,-3.63,),(,0.83-2,.50,),CD3,+,CD4,+,cell,absolute,count,x106/mL,",",0.96,1.00,0.90,median,(,range,),(,0.49-1,.29,),(,0.39-2,.44,),(,0.50-1,.68,),CD4,+,Naive,(,CD45RO-CCR7,+,),cell,absolute,count,x106/mL,",",0.25,0.36,0.40,*,median,(,range,),(,0.09-0,.58,),(,0.07-1,.45,),(,0.15-0,.95,),CD4,+,Central,Memory,(,CD45RO,+,CCR7,+,),cell,absolute,count,x106/mL,",",0.28,0.28,0.28,median,(,range,),(,0.03-0,.39,),(,0.12-0,.84,),(,0.08-0,.72,),CD4,+,Effector,Memory,(,CD45RO,+,CCR7,-,),cell,absolute,count,x106/mL,",",0.26,0.31,T,0.25,median,(,range,),(,0.13-0,.58,),(,0.11-0,.53,),(,0.11-0,.49,),CD4,+,Terminally,Differentiated,EM,(,CD45RO-CCR7,-,),cell,absolute,count,x106/mL,",",0.020,0.034,f,0.018,median,(,range,),(,0.004-0,.56,),(,0.005-0,.23,),(,0.004-0,.14,),*,p,<,0.05,RA,patients,at,baseline,vs,HC,;,1,-,p,<,0.05,Seropositive,arthralgia,patients,(,SAP,),vs,RA,patients,at,baseline,(,Mann-Whitney,test,),.}	{"Absolute numbers of circulating leukocyte subsets in HC , SAP and RA patients .","HC SAP RA Baseline"}	{"The absolute numbers of CD45 + , CD3 + , CD3 + CD4 + lymphocytes were determined using the BD Mu | tiTest TruCount method .","Relative values ( % ) of T lymphocytes with a naive ( TNaive ) , central memory ( TCM ) , effector memory ( TEM ) and terminally differentiated effector memory ( TEMRA ) phenotype within the total CD4 counts were used to calculate the absolute numbers of these subsets ."}
MENTION_HPOTERM_journal.pone.0028411.pdf_132_421_422	HP:0004398|Peptic ulcer	{421,422}	{N,66801,70541,69570,71386,38996,40620,97375,101307,136371,141927,Presence,of,illness,11869,9960,15237,12383,"8282 6438 18824",15905,27106,22343,in,the,last,2,weeks,(,17.8,),(,14.1,),(,21.9,),(,17.4,),(,21.2,),(,15.9,),(,19.3,),(,15.7,),(,19.9,),(,15.7,),before,the,survey,*,Presence,of,physician,15321,12661,19388,15778,12966,11768,21743,16671,34709,28439,diagnosed,chronic,(,22.93,),(,18.0,),(,27.86,),(,22.1,),(,33.3,),(,29.0,),(,22.3,),(,16.5,),(,25.5,),(,20.0,),disease,in,the,last,6,months,before,the,survey,*,Infectious,and,305,0.5,305,(,0.4,),158,(,0.2,),186,(,0.3,),79,(,0.2,),125,(,0.3,),384,(,0.4,),366,(,0.4,),463,(,0.3,),491,(,0.3,),parasitic,disease,Cancer,184,0.3,125,(,0.2,),164,(,0.2,),113,(,0.2,),151,0.4,),121,(,0.3,),197,(,0.2,),117,(,0.1,),*,348,(,0.3,),238,(,0.2,),*,Diabetes,866,1.3,476,(,0.7,),*,1017,(,1.5,),598,(,0.8,),*,1263,(,3.2,),476,(,1.2,),*,620,(,0.6,),598,(,0.6,),*,1883,(,1.4,),1074,(,0.8,),*,Heart,disease,1193,(,1.8,),1013,(,1.4,),*,1895,(,2.7,),*,1672,(,2.3,),*,1584,(,4.1,),1613,(,4.0,),*,1504,(,1.5,),1072,(,1.1,),*,3088,(,2.3,),2685,(,1.9,),*,Stroke,899,1.4,702,(,1.0,),*,799,(,1.2,),574,(,0.8,),*,627,1.6,),702,(,1.7,),1071,(,1.1,),574,(,0.6,),*,1698,(,1.3,),1276,(,0.9,),*,Chronic,pulmonary,990,1.5,1174,(,1.7,),*,766,(,1.1,),814,(,1.1,),480,1.2,),611,(,1.5,),*,1276,(,1.3,),1377,(,1.4,),*,1756,(,1.3,),1988,(,1.4,),*,disease,Hypertension,4289,(,6.4,),2215,(,3.1,),*,5369,(,7.7,),2834,4.0,),*,4646,(,11.9,),2215,(,5.5,),*,5012,(,5.2,),2834,(,2.8,),*,9658,(,7.1,),5049,(,3.6,),*,Peptic,ulcer,355,0.5,448,(,0.6,),*,226,(,0.3,),266,(,0.4,),129,0.3,),170,(,0.4,),*,452,(,0.5,),544,(,0.5,),581,(,0.4,),714,(,0.5,),*,Chronic,liver,disease,131,0.2,128,(,0.2,),66,(,0.1,),71,(,0.1,),69,(,0.2,),128,(,0.3,),128,(,0.1,),71,(,0.1,),197,(,0.1,),199,(,0.1,),Chronic,renal,disease,106,0.2,85,(,0.1,),165,(,0.2,),177,(,0.3,),96,(,0.3,),85,(,0.2,),175,(,0.2,),177,(,0.2,),271,(,0.2,),262,(,0.2,),Rheumatologic,arthritis,570,0.9,540,(,0.8,),1216,(,1.8,),1084,(,1.5,),332,0.9,),540,(,1.3,),1454,(,1.5,),1084,(,1.1,),*,1786,(,1.3,),1624,(,1.1,)}	{"Illness and morbidity in respondents aged > 18 years in China , 2003 and 2008 .","Men Women Urban Rural Total"}	{"* Note : adjusted P value < 0.001 for 2008 versus 2003 after adjustment for age , minority , marital status , education , gender ( or residence area ) and geographic region .","doi :10.1371 / journa | ."}
MENTION_HPOTERM_journal.pone.0006276.pdf_141_7_7	HP:0002099|Asthma	{7}	{We,found,that,RCTs,in,children,with,asthma,almost,always,assess,the,effects,of,therapies,on,short,term,disease,activity,",",but,none,consider,the,effects,on,long,term,progression,of,disease,.}	{"Since the 1992 — l996 epoch the proportion of studies measuring functional status , for example by assessing school absence due to asthma , has decreased from 40 % to 10 % , and those measuring quality of life have increased from 10 % to 25 % .",Discussion}	{"Quality of life and functional status are measured infrequently .","While there were similarities between studies , particularly in the selection of primary outcomes that measure disease activity , other outcomes showed wide variability ."}
MENTION_HPOTERM_journal.pone.0061206.pdf_30_2_2	HP:0100843|Glioblastoma	{2}	{Patients,with,glioblastoma,carry,extremely,poor,prognosis,",",with}	{"| nt | - oduction understand the molecular mechanisms involved in the uncontrolled proliferation and invasion of glioblastomas , and to identify Glioblastoma is the most eommeh end lethal type of primary speciﬁc biomarkers in tumorigenesis associated with progression of central nervous system neoplasm in adults .","Although the this mallgnanCy _ comprehensive treatment strategy for glioblastomas is continuous - The FRAT1 ly progressing , the outcome of this malignancy is still very poor ."}	{"( frequently rearranged in advanced T-cell lymphomas-1 ) gene , located on human chromosome l0q24 .1 _ t l _ f l _ _ l t [ 3 ] , encodes a 29-kDa protein comprising 279 amino acids .","a median sur-viva period o about year , despite surgica restzcuoh FRAT1 has been identiﬁed as a positive regulator of the Wnt / Bcombined Wlth radiotherapy and chemotherapy [ 1,2 ] ."}
MENTION_HPOTERM_SCPDFS_39782.pdf_393_8_10	HP:0010695|Sutural cataract	{8,10}	{Mutation,of,betaA3/A1crystallin,gene,in,autosomal,dominant,zonular,cataract,with,sutural,opacities,results,in,a,protein,with,single,globular,domain,.}	{"Kannabiran , C. , Wawrousek , E. , Sergeev , Y. , Rao , G. N. , KaiserKupfer , M. , and Hejtmancik , J .","F. ( 1999 ) ."}	{"Invest .","Ophthalmol ."}
MENTION_HPOTERM_journal.pone.0061807.pdf_484_27_27	HP:0001909|Leukemia	{27}	{The,observation,of,concomitant,methylation,of,several,Notch,pathway,genes,at,different,chromosomal,loci,suggests,that,epigenetic,disruption,of,Notch,signaling,may,be,an,important,event,in,leukemia,pathogenesis,.}	{"OO61807 .",gOO6}	{"The distinct methylation pattern of N otch3 and Hes5 genes in primary B cell leukemia compared to T-ALL further suggest that aberrant DNA methylation occur in a tumor speciﬁc and lineage-speciﬁc fashion .","In the present study , we also investigated the expression patterns of Notch pathway genes in normal hematopoietic lineage cells ."}
MENTION_HPOTERM_journal.pone.0067643.pdf_581_26_26	HP:0100242|Sarcoma	{26}	{Forus,A,",",V4/eghuis,DO,",",Smeets,D,",",Fodstad,O,",",Myklebost,O,",",et,al.,(,1995,),Comparative,genomic,hybridization,analysis,of,human,sarcomas,:,I.,Occurrence,of,genomic,imbalances,and,identiﬁcation,of,a,novel,major,amplicon,at,1q21-q22,in,soft,tissue,sarcomas,.}	{"Larra_mendy ML , Gentile M , Soloneski S , Knuutila S , Bohling T ( 2008 ) Does comparative genomic hybridization reveal distinct differences in DNA copy number sequence patterns between leiomyosarcoma and malignant ﬁbrous histiocytoma ?","Cancer Genet Cytogenet 187 : l — 1 1 ."}	{"Genes Chromosomes Cancer 14 : 8 — 14 .","Larra_mendy ML , Tarkkanen M , Blomqvist C , Virolainen M , VA/iklund T , et al. ( 1997 ) Comparative genomic hybridization of malignant ﬁbrous histiocytoma reveals a novel prognostic marker ."}
MENTION_HPOTERM_journal.pone.0080652.pdf_32_11_28	HP:0001399|Hepatic failure	{11,28}	{Progression,of,subclinical,compensated,liver,disease,may,result,in,decompensated,hepatic,failure,with,cirrhosis,",",liver,related,events,(,LRE,),such,as,ascites,",",variceal,bleeding,",",hepatic,encephalopathy,and,death,.}	{"[ 2 ] However , even if a patient has underwent a successful and timely operation , this progression of histological ﬁbrosis occurs in almost all patients , [ 3 ] leading to biliary atresia as the main indication of children ’s liver transplantation .","Therefore , long-term follow-up of biliary atresia patients with close monitoring of ﬁbrosis and cholestasis is important ."}	{"Although clinical features and laboratory data can be helpful , deﬁnitive diagnosis of hepatic ﬁbrosis and cirrhosis is classically performed with a histological examination of liver tissue obtained from a liver biopsy .","Due to the limitations ( such as invasiveness and excessive pain ) involved in performing liver biopsy , alternative methods for diagnosis of hepatic ﬁbrosis have been emerging ."}
