relation_id	relation_name	gene_words	hpoterm_words	words	sentences_before	sentences_after	expectation	gene_expectation	hpoterm_expectation	features	weights
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0030451.pdf_37_37_9_9_12_12_UNSUP	ATM/HP:0001009|Telangiectasia	{9}	{12}	{Tell,",",as,well,as,its,human,ortholog,",",ATM,(,Ataxia,Telangiectasia,Mutated,),",",have,been,since,extensively,documented,as,they,both,play,pivotal,roles,in,genome,stability,as,well,as,in,the}	{"Telomeres protect against unwanted chromosome end-to-end fusions , against degradation by DNA modifying enzymes and prevent chromosome ends from being mistaken for DNA double-strand breaks [ 3 ] .","The genes corresponding to the short telomere mutants isolated by Lustig and Petes [ 2 ] , TEL ] and TEL2 , were cloned around ten years later [ 4,5 ] ."}	{"` !","9 PLoS ONE | www ."}	0.982	0.438	0.988	{INT_NGRAM_[(]_[Ataxia],"WORD_SEQ_[( Ataxia]",DEP_PATH_[@nn-dep|)],"WORD_SEQ_NER_[NUMBER ORGANIZATION]",MIN_VERB_[document],"EXT_NGRAM_[,]_[Mutated]",POS_SEQ_[CD_NNP]}	{1.48967,1.40252,1.00785,0.573585,-0.346615,0.168548,-0.15375}
RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_49539.pdf_10_10_30_30_4_4_UNSUP	PAX6/HP:0000526|Aniridia	{30}	{4}	{A,candidate,gene,for,aniridia,",",isolated,by,positional,cloning,from,a,region,of,chromosome,11p13,near,the,Wilms,’,Tumour,predisposition,gene,WT1,",",proved,to,be,the,human,PAX6,gene,.}	{"and the human condition aniridia .","Jordan et al. now show that this is indeed the case ."}	{"Using a PCRbased strategy , Jordan et al. found mutations in the PAX6 gene in two aniridia cell lines .","One , a two-base insertion in the gene , was predicted to lead to production of a truncated protein ."}	0.992	0.884	0.972	{BETW_2_GRAM_[of_chromosome],INV_EXT_NGRAM_[for]_[gene],BETW_2_GRAM_[the_wilm],BETW_2_GRAM_[region_of],INV_VERB_[be],BETW_2_GRAM_[positional_cloning],BETW_2_GRAM_[the_human],BETW_2_GRAM_[by_positional],INV_MIN_VERB_GENE_[isolate]_HPO_[be],BETW_2_GRAM_[’_tumour],BETW_2_GRAM_[isolate_by],BETW_2_GRAM_[wilm_’],BETW_2_GRAM_[chromosome_11p13],"BETW_2_GRAM_[wt1_,]",BETW_2_GRAM_[predisposition_gene],INV_VERB_[isolated],BETW_2_GRAM_[gene_wt1],BETW_2_GRAM_[prove_to],BETW_2_GRAM_[cloning_from],BETW_2_GRAM_[a_region],BETW_2_GRAM_[to_be],"BETW_2_GRAM_[,_prove]",BETW_2_GRAM_[tumour_predisposition],BETW_2_GRAM_[11p13_near],BETW_2_GRAM_[near_the],BETW_2_GRAM_[from_a],BETW_2_GRAM_[be_the],INV_VERB_[proved],"INV_INT_NGRAM_[,]_[human]","BETW_2_GRAM_[,_isolate]"}	{1.13377,1.08597,0.955148,-0.672311,-0.664308,0.607609,0.58296,0.572475,-0.487473,0.434518,-0.42267,0.373171,0.313525,-0.312978,0.276321,-0.275559,0.23105,0.210083,-0.20637,0.196188,0.188998,0.15985,0.15985,0.15985,-0.155647,0.129739,-0.127678,-0.0515455,-0.0204962,-0.00491232}
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0038906.pdf_55_55_16_16_1_1_UNSUP	GCK/HP:0000842|Hyperinsulinemia	{16}	{1}	{Persistent,hyperinsulinemia,of,infancy,is,associated,with,hyperactive,GCK,variants,",",while,MODY2,is,associated,with,GCK,mutations,that,impair,its,activity,[,7,],.}	{"produce two distinct di_SoaSoS = MODY ‘ typo 2 ( MODY2 ) A huge conformational transition occurs through a large rotation ( MIM :12585 l ) and persistent hyperinsulinemia of infancy of the Sinaii doinain [ 8 ] .","( MIM :60 l820 ) [ 5,6 ] ."}	{"GCK ( hexokinase IV ) catalyzes the ATP-dependent phosphorylation of glucose in the first , rate-limiting step of glycolysis in pancreatic BThe","heterozygous loss-of-function GCK mutations causative of MODY2 diabetes include missense , nonsense , splicing , small deletions / insertions / duplications variants , and result in stable fasting hyperglycemia from birth ( > 5.5 mol/L ) and rare microvascular complications [ 1 ] ."}	0.99	0.972	1	{BETW_2_GRAM_[of_infancy],"BETW_2_GRAM_[,_while]",BETW_2_GRAM_[with_hyperactive],BETW_2_GRAM_[hyperactive_gck],BETW_2_GRAM_[infancy_be],INV_VERB_[is],BETW_2_GRAM_[be_associate],INV_INT_NGRAM_[of]_[with],INV_MIN_VERB_GENE_[associate]_HPO_[impair],BETW_2_GRAM_[gck_variant],"BETW_2_GRAM_[variant_,]",BETW_2_GRAM_[while_mody2],INV_EXT_NGRAM_[persistent]_[mutation],BETW_2_GRAM_[mody2_be],INV_VERB_[associated],BETW_2_GRAM_[associate_with]}	{0.937094,-0.913677,0.796082,0.796082,0.796082,-0.784726,0.717946,-0.575504,0.476787,0.465068,0.39036,0.355566,0.355566,0.355566,-0.291213,0.0647082}
RELATION_GENEHPOTERM_journal.pone.0005755.pdf_285_285_4_4_41_42	C6/HP:0012125|Prostate cancer	{4}	{41,42}	{Serum,complement,C1q,and,C6,are,essential,for,supporting,basal,phosphorylation,of,ERK,and,WOX1,in,DU145,cells,We,investigated,whether,downregulation,of,Clq,in,vivo,may,reduce,the,activation,of,tumor,suppressors,in,vitro,",",thereby,providing,better,survival,for,prostate,cancer,cells,.}	{"At a higher magniﬁcation , Clq was shown to express in the basal and epithelial cells of the archival prostate tissue samples , and Clq was colocalized with p-WOX1 in these cells ( Fig .","7C ) ."}	{"DU145 cells were cultured overnight under serum-free conditions , in the presence of 1 % normal human serum , or 1 % human serum with depletion of Clq , C6 , C7 , C8 , or C9 .","By Western blotting , we determined that both AClq and AC6 sera could not support the constitutive expression of WOX2 ( an isoform of WOX1 ) and pERK in DU145 cells ( Figs ."}	0.966	0.632	1	{EXT_NGRAM_[and]_[cell],BETW_2_GRAM_[downregulation_of],BETW_2_GRAM_[investigate_whether],BETW_2_GRAM_[tumor_suppressor],BETW_2_GRAM_[in_vitro],VERB_[reduce],VERB_[supporting],"BETW_2_GRAM_[,_thereby]",VERB_[are],BETW_2_GRAM_[thereby_provide],VERB_[providing],BETW_2_GRAM_[activation_of],BETW_2_GRAM_[suppressor_in],BETW_2_GRAM_[in_vivo],BETW_2_GRAM_[essential_for],"BETW_2_GRAM_[vitro_,]",VERB_[investigated],BETW_2_GRAM_[of_erk],INT_NGRAM_[be]_[for],BETW_2_GRAM_[of_tumor],BETW_2_GRAM_[phosphorylation_of],BETW_2_GRAM_[be_essential],BETW_2_GRAM_[and_wox1],BETW_2_GRAM_[wox1_in],BETW_2_GRAM_[provide_better],BETW_2_GRAM_[whether_downregulation],BETW_2_GRAM_[of_clq],BETW_2_GRAM_[clq_in],BETW_2_GRAM_[vivo_may],BETW_2_GRAM_[the_activation],BETW_2_GRAM_[erk_and],BETW_2_GRAM_[survival_for],MIN_VERB_GENE_[be]_HPO_[provide],BETW_2_GRAM_[better_survival],BETW_2_GRAM_[in_du145],BETW_2_GRAM_[cell_we],BETW_2_GRAM_[may_reduce],BETW_2_GRAM_[reduce_the],BETW_2_GRAM_[du145_cell],BETW_2_GRAM_[we_investigate],BETW_2_GRAM_[support_basal],BETW_2_GRAM_[basal_phosphorylation],BETW_2_GRAM_[for_support]}	{2.7419,1.92952,-1.76265,1.11102,-0.96015,-0.90651,-0.88855,0.667204,-0.665313,0.662364,0.60842,-0.572603,-0.526938,-0.463417,-0.377129,0.351193,0.339442,-0.285929,0.24554,0.237162,0.226574,0.226373,0.186312,0.186312,0.186312,0.186312,0.186312,0.186312,0.167256,0.155598,0.0980608,-0.0894369,-0.0697787,0.0458325,0.0367502,-0.0301826,-0.0206056,-0.0141644,-0.0130599,-0.00147053,0,0,0}
RELATION_GENEHPOTERM_journal.pone.0031515.pdf_31_31_29_30_1_2	cytoskeletal_protein/HP:0003560|Muscular dystrophy	{29,30}	{1,2}	{Duchenne,muscular,dystrophy,(,DMD,),is,one,of,the,most,common,X-linked,lethal,diseases,",",and,results,from,the,mutation,within,the,gene,encoding,dystrophin,",",a,large,cytoskeletal,protein,",",whose,ablation,leads,to,membrane,instability,[,1,],.}	{"* E — mai | : marina.bouche@uniroma1.it",Introduction}	{"Therapies based on the restoration of dystrophin expression or the administration of dystrophin + “ \\" ’ stem cells are promising , but still in the preclinical phase [ 2 — 4 ] .","In this context , one of the barrier to successful gene therapy has been recently identiﬁed in cellular immunity Thus , the monitoring of cellular immune responses should be a priority for any experimental therapy designed to increase the number of dystrophin-positive myoﬁbers in patients with Duchenne ’s muscular dystrophy ."}	0.976	1	1	{BETW_2_GRAM_[the_mutation],BETW_2_GRAM_[mutation_within],BETW_2_GRAM_[and_result],"BETW_2_GRAM_[dystrophin_,]","INV_EXT_NGRAM_[Duchenne]_[,]",BETW_2_GRAM_[from_the],BETW_2_GRAM_[within_the],INV_VERB_[is],BETW_2_GRAM_[most_common],BETW_2_GRAM_[the_gene],BETW_2_GRAM_[a_large],INV_MIN_VERB_GENE_[be]_HPO_[lead],BETW_2_GRAM_[(_DMD],"BETW_2_GRAM_[disease_,]",BETW_2_GRAM_[of_the],BETW_2_GRAM_[the_most],"BETW_2_GRAM_[,_a]",BETW_2_GRAM_[be_one],BETW_2_GRAM_[gene_encode],BETW_2_GRAM_[result_from],"BETW_2_GRAM_[,_and]",INV_VERB_[encoding],BETW_2_GRAM_[x-linked_lethal],BETW_2_GRAM_[one_of],BETW_2_GRAM_[common_x-linked],INV_INT_NGRAM_[(]_[large],BETW_2_GRAM_[)_be],BETW_2_GRAM_[DMD_)],INV_VERB_[results],BETW_2_GRAM_[lethal_disease],BETW_2_GRAM_[encode_dystrophin]}	{2.07987,1.94955,1.80002,-1.55552,1.36943,-0.958521,-0.869445,-0.784726,0.741581,0.737798,0.728506,-0.625752,0.585131,-0.470618,-0.43174,-0.406861,-0.355931,0.298638,0.186353,0.168112,-0.163149,-0.155845,0.141512,0.104346,0.0980622,-0.0448979,-0.0352333,0.0336984,-0.0267837,-0.0188676,0}
RELATION_GENEHPOTERM_journal.pone.0102944.pdf_31_31_12_12_42_42	MSX1/HP:0000677|Oligodontia	{12}	{42}	{The,molecular,mechanism,of,human,tooth,_,_,_,agenesis,mediated,by,MSX1,mutation,is,however,independent,of,agehesls,[,l,”,9,],',Based,Oh,the,hurhher,or,rhlsslhg,perrhahehr,reerh,=,PAX9,",",since,most,MSX1,mutations,related,to,oligodontia,can,excluding,the,third,molars,",",tooth,agenesis,is,classiﬁed,‘,into,three,potentiate,PAX9_indueed,Bmp4_prOmOter,activation,[,11,],.}	{"* Email : tokita@inst—hsc.jp","| nt | - oduction noteworthy that MSX1 by itself , unlike PAX9 , can not activate the Bmpél-promoter in vitro , but can potentiate PAX9 activity as a synergic cofactor ."}	{"Fur _ earegerleS ' Hypedehrla ls generally dehhed as agehesls Wllh the thermore , it has been reported that MSX1 reduces the expression absence of less than six teeth , oligodontia is a condition in which level of Several genes that promote mesenehvmal Cell differemi _ six or more teeth are missing , and anodontia is the term used for mien both in vitro [ BL and in vivo [ 12 ] .","Hence ) to evaluate the Complete tooth loss ‘ Both lh Vlvo and lh Vlrro Sllldles have ability of transcriptional gene repression of MSX1 mutation , we revealed that Msxl and Paxg are esserlllal rer the lhduelleh Or selected MyoD-promoter since it is a well-characterized system to hehe rhorphegeherle prerelh 4 ( Brhp4 ) > Whleh ls regarded as the assess the MSX1 mediated gene suppression activity [ l4 — l6 ] ."}	1	0.95	0.988	{INT_NGRAM_[mutation]_[to],BETW_2_GRAM_[mutation_be],BETW_2_GRAM_[9_]],"BETW_2_GRAM_[,_since]",VERB_[is],BETW_2_GRAM_[l_”],MIN_VERB_GENE_[mediate]_HPO_[relate],BETW_2_GRAM_[]_'],VERB_[Based],BETW_2_GRAM_[msx1_mutation],BETW_2_GRAM_[most_msx1],BETW_2_GRAM_[mutation_relate],BETW_2_GRAM_[independent_of],BETW_2_GRAM_[relate_to],BETW_2_GRAM_[since_most],BETW_2_GRAM_[[_l],VERB_[related],BETW_2_GRAM_[of_agehesl],BETW_2_GRAM_[base_oh],BETW_2_GRAM_[however_independent],"BETW_2_GRAM_[pax9_,]",BETW_2_GRAM_[hurhher_or],BETW_2_GRAM_[perrhahehr_reerh],BETW_2_GRAM_[be_however],BETW_2_GRAM_[agehesl_[],BETW_2_GRAM_[”_9],BETW_2_GRAM_['_base],BETW_2_GRAM_[or_rhlsslhg],BETW_2_GRAM_[reerh_=],BETW_2_GRAM_[oh_the],BETW_2_GRAM_[=_pax9],BETW_2_GRAM_[the_hurhher],BETW_2_GRAM_[rhlsslhg_perrhahehr],EXT_NGRAM_[by]_[can]}	{3.12516,2.82231,1.20907,-1.10452,-0.872278,-0.593245,0.581329,0.493962,-0.466435,0.372967,0.372967,0.372967,0.229869,0.211564,0.188787,0.0393796,0.030935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_43121.pdf_354_354_13_14_8_8_UNSUP	Barth_syndrome/HP:0001875|Neutropenia	{13,14}	{8}	{Mapping,ofthe,locus,for,X-linked,cardioskeletal,myopathy,with,neutropenia,and,abnormal,mitochondria,(,Barth,syndrome,),to,Xq28,.}	{"Cell 64 : 861-866 .","Bolhuis , P. A. , Hensel , G. W. , Hulsebos , T. J. M. , Baas , F. , and Barth , P. G. ( 1991 ) ."}	{"Am .","J. Hum ."}	0.924	0.526	1	{INV_POS_SEQ_[CC_JJ_NN_NNP],"INV_WORD_SEQ_[and abnormal mitochondrium (]","INV_WORD_SEQ_NER_[and abnormal mitochondrium (]",INV_INT_NGRAM_[and]_[(],INV_EXT_NGRAM_[with]_[)],INV_MIN_VERB_GENE_[NULL]_HPO_[NULL],INV_DEP_PATH_[@nn]}	{1.53498,1.53498,1.53498,-0.955281,-0.860236,-0.777022,0.422245}
RELATION_GENEHPOTERM_SUP_MAP_journal.pbio.0020289.pdf_782_782_33_33_26_28_UNSUP	VHL/HP:0005584|Renal cell carcinoma	{33}	{26,27,28}	{Jiang,Y,",",Zhang,W,",",Kondo,K,",",Klco,JM,",",St,Martin,TB,",",et,al.,(,2003,),Gene,expression,proﬁling,in,a,renal,cell,carcinoma,cell,line,:,Dissecting,VHL,and,hypoxia-dependent,pathways,.}	{"Jiang M , Ryu J , Kiraly M , Duke K , Reinke V , et al. ( 2001 ) Genome-wide analysis of developmental and sex-regulated gene expression proﬁles in Camorhabditi : elegam .","Proc Natl Acad Sci U S A 98 : 218 — 223 ."}	{"Mol Cancer Res 1 : 453 — 462 .","Kaelin WG Jr ( 2002 ) Molecular basis of the VHL hereditary cancer syndrome ."}	0.984	0.412	1	{INV_INT_NGRAM_[cell]_[dissect],"INV_WORD_SEQ_[cell line : dissect]",INV_POS_SEQ_[NN_NN_:_VBG],"INV_WORD_SEQ_NER_[cell line : dissect]",INV_EXT_NGRAM_[a]_[and],INV_DEP_PATH_[dep@nn-prep_in|line],INV_SINGLE_VERB_[dissect],INV_MIN_VERB_[dissect]}	{0.955156,0.955156,0.955156,0.955156,-0.649562,0.386689,0.270943,0.267834}
RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_3212.pdf_654_654_0_0_11_11_UNSUP	PAX6/HP:0000526|Aniridia	{0}	{11}	{PAX6,gene,dosage,effect,in,a,family,with,congenital,cataracts,",",aniridia,",",anophthalmia,and,central,nervous,system,defects,.}	{"2 , 232-239 .","Glaser , T. , Jepeal , L. , Edwards , J.G. , Young , S.R. , Favor , J. , Maas , R.L. , 1994 ."}	{"Nat .","Genet ."}	0.998	0.888	0.998	{BETW_2_GRAM_[gene_dosage],BETW_2_GRAM_[with_congenital],"INT_NGRAM_[gene]_[,]",BETW_2_GRAM_[family_with],MIN_VERB_GENE_[NULL]_HPO_[NULL],BETW_2_GRAM_[a_family],BETW_2_GRAM_[dosage_effect],"BETW_2_GRAM_[cataract_,]","EXT_NGRAM_[NULL]_[,]",BETW_2_GRAM_[congenital_cataract],BETW_2_GRAM_[in_a],BETW_2_GRAM_[effect_in]}	{1.5492,1.49245,1.16335,1.14728,-0.904981,0.866155,0.372413,0.280147,0.245339,-0.189883,0.146914,0.0179646}
RELATION_GENEHPOTERM_journal.pone.0043464.pdf_49_49_42_42_17_18	FSHD/HP:0003560|Muscular dystrophy	{42}	{17,18}	{The,FRG1,over-expressing,mouse,is,a,transgenic,mouse,characterized,by,strong,up-regulation,of,human,FRG1,",",causing,muscular,dystrophy,similar,to,FSHD,(,abnormal,spinal,curvature,",",progressive,muscle,dystrophy,",",skeletal,muscle,atrophy,",",differential,involvement,of,muscle,types,similar,to,FSHD,),[,25,],.}	{"Like the mdx mouse , the main histological changes of or-Sgca-null muscles include extensive central nucleation , increased variability of muscle ﬁbre diameter , and the persisted presence of degeneration and regeneration [ 23 ] .","Regarding muscle impairment , absence of ozsarcoglycan was demonstrated to perturb more fast-twitch than slow-twitch ﬁbres ."}	{"Basing on several measurements ( including ﬁbre size variation , number of internal nuclei , percentage of connective tissue , number of necrotic ﬁbres and number of regenerating ﬁbres ) , this animal model demonstrated different distribution of muscle impairment .","In particular , trapezius ( TPZ ) was deﬁned as the most affected muscle in F RG1 high over-expressing mice and FSHD patients [ 25 ] ."}	0.996	0.08	0.998	{INV_EXT_NGRAM_[cause]_[)],BETW_2_GRAM_[involvement_of],"BETW_2_GRAM_[dystrophy_,]",BETW_2_GRAM_[skeletal_muscle],"BETW_2_GRAM_[,_differential]",BETW_2_GRAM_[(_abnormal],"BETW_2_GRAM_[atrophy_,]","BETW_2_GRAM_[,_progressive]",BETW_2_GRAM_[muscle_atrophy],BETW_2_GRAM_[of_muscle],INV_MIN_VERB_[cause],INV_INT_NGRAM_[similar]_[to],"BETW_2_GRAM_[,_skeletal]",BETW_2_GRAM_[progressive_muscle],BETW_2_GRAM_[similar_to],BETW_2_GRAM_[muscle_type],BETW_2_GRAM_[muscle_dystrophy],BETW_2_GRAM_[spinal_curvature],"BETW_2_GRAM_[curvature_,]",BETW_2_GRAM_[differential_involvement],BETW_2_GRAM_[fshd_(],BETW_2_GRAM_[abnormal_spinal],BETW_2_GRAM_[to_fshd],BETW_2_GRAM_[type_similar]}	{1.14408,1.10424,0.94216,0.754539,-0.645391,0.6451,0.611917,-0.555716,-0.498788,0.424855,0.418898,0.266995,0.238122,0.225855,-0.109771,-0.0735467,-0.0256092,-0.0233131,-0.0233131,-0.00734916,0,0,0,0}
