relation_id	relation_name	relation_pos	words	sentences_before	sentences_after
RELATION_GENEHPOTERM_SCPDFS_42115.pdf_46_46_140,141_13,13	Wilson_disease/HP:0001251|Ataxia	{140,141,13}	{Linkage,disequilibrium,mapping,has,also,been,employed,to,localize,the,gene,for,Friedreich,Ataxia,using,French,Canadian,",",Italian,",",and,Louisiana,Acadian,populations,(,Fujita,et,al.,",",1990,;,Hanauer,et,al.,",",1990,;,Richter,et,al.,",",1990,;,Pandolfo,et,al.,",",1990,;,Sirugo,et,al.,",",1992,),",",myotonic,dystrophy,using,Caucasian,populations,(,Harley,et,al.,",",1991,;,Tsilﬁdis,et,al.,",",1991,),",",Lubag,’s,disease,using,a,Philippine,population,(,Graeber,et,al.,",",1992,;,Wilhelmsen,et,al.,",",1992,),",",diastrophic,dysplasia,(,Hastbacka,et,al.,",",1992,",",1994,),",",and,infantile,neuronal,ceroid,lipofuscinosis,(,Hellsten,et,al.,",",1993,),using,a,Finnish,population,",",Huntington,disease,using,Caucasian,populations,(,Huntington,Disease,Collaborative,Research,Group,",",1993,),",",Wilson,disease,using,various,populations,",",including,Caucasians,(,Petrukhin,et,al.,",",1993,;,Bowcock,et,al.,",",1994,),",",and,polycystic,kidney,disease,using,a,Scottish,population,(,Snarey,et,al.,",",1994,),.}	{"In the most celebrated case , the cystic ﬁbrosis gene was mapped using a combination of molecular and population genetic techniques , including linkage disequilibrium mapping ( Kerem et al. , 1989 ; Rommens et al. , 1989 ; Riordan et al. , 1989 ) .","Ozelius et al. ( 1992a , b ) and Risch et al. ( 1991 , 1995 ) have recently narrowed the location of the torsion dystonia gene to a small region of chromosome 9 ( 9q34 ) using linkage disequilibrium mapping in the Ashkenazi Jewish population ."}	{"For marker loci , J orde et al. ( 1994 ) found that linkage disequilibrium was an excellent predictor of physical distance in the adenomatous polyposis coli region of chromosome 5 using a Caucasian population ( see also Daiger et al. , 1989 ; Jorde et al. , 1993 ) .","There are , however , reasons to be cautious about the use of linkage disequilibrium for ﬁne mapping ."}
RELATION_GENEHPOTERM_SCPDFS_39982.pdf_144_144_4,4_33,33	LHFP/HP:0012032|Lipoma	{4,33}	{Our,ﬁnding,that,the,LHFP,gene,is,localized,at,13q,and,that,this,gene,is,directly,affected,in,the,lipoma,studied,here,makes,it,a,positional,candidate,for,a,target,gene,in,other,lipomas,with,13q,aberrations,.}	{"Cytogenetic interval 13q12-13q22 is involved in rearrangements in approximately 7 — 8 % of cytogenetically abnormal lipomas , but only rarely in recombinations with 12q13 — q15 .","The most frequent recurrent aberration , del ( 13 ) ( q12q22 ) , is seen in half of the cases with 13q changes ."}	{"It would be of interest to see whether this is indeed the case and if LHFP may form a fusion gene with a yet unknown gene on the long arm of chromosome 13 .",ACKNOVVLEDGMENTS}
RELATION_GENEHPOTERM_journal.pgen.1001240.pdf_807_807_18,18_36,36	FMR1/HP:0001251|Ataxia	{18,36}	{Westerveld,M,",",Reis,S,",",Holstege,J,",",Severijnen,LA,",",et,al.,(,2003,),The,FMR1,CGG,repeat,mouse,displays,ubiquitin,~,positive,intranuclear,neuronal,inclusions,;,implications,for,the,cerebellar,tremor,/,ataxia,syndrome,.}	{"VVillemsen R , Hoogeveen .","— ."}	{"Hum lVIol Genet 12 : 9494959 .","Peprah E , He VV , Allen E , Oliver T , Boyne A , et al. ( 2010 ) Examination of FNIR1 transcript and protein levels among 74 premutation carriers ."}
RELATION_GENEHPOTERM_SCPDFS_23478.pdf_432_432_5,6_12,13	androgen_receptor/HP:0012125|Prostate cancer	{5,6,12,13}	{The,CAG,repeat,within,the,androgen,receptor,gene,and,its,relationship,to,prostate,cancer,(,published,erratum,appears,in,Proc,.}	{"44 , 1277 - 1286 .","Giovannucci , E. , Stampfer , M.J. , Krithivas , K. , Brown , M. , Dahl , D. , Brufsky , A. , Talcott , J. , Hennekens , C.H. , Kantoff , P.W. , 1997 ."}	{"Natl. Acad .","Sci ."}
RELATION_GENEHPOTERM_SUP_SCPDFS_42116.pdf_179_179_22,22_8,10	RCP/HP:0007939|Blue cone monochromacy	{22,8,9,10}	{In,the,family,that,we,describe,here,",",blue,cone,monochromacy,is,due,to,an,inactivating,C203R,point,mutation,present,in,both,RCP,and,GCP,.}	{"This revealed only normal RCP sequence , demonstrated by the presence OfA861 , T864 , T866 , G869 ’ A871 ’ G876 ’ C890 ’ and A394 ( Table 1 ) .",DISCUSSION}	{"There has been only one such case reported previously ( Nathans et al. , 1993 ) .","Many cases of blue cone monochromacy are due to the presence of the C203R mutation in a single 5 ’ red — 3 ’ green hybrid gene , and one case with a RCP gene carrying the C203R mutation in the absence of a GCP gene has been reported ( Nathans et al. , 1993 ) ."}
RELATION_GENEHPOTERM_journal.pone.0025634.pdf_214_214_46,46_4,5	AR/HP:0012125|Prostate cancer	{46,4,5}	{Effects,of,5-aza-CdR,on,prostate,cancer,cell,viability,is,independent,of,the,AR,To,determine,if,the,effects,of,5-aza-CdR,in,LNCaP,cells,were,dependent,on,a,functional,AR,",",a,daily,treatment,schedule,",",was,also,performed,in,PC3,cells,",",which,lack,a,functional,AR,.}	{"was achieved with 5-aza-CdR daily doses of 0.05 1.1 M or greater resulting in a 62 % reduction in cell number when compared to vehicle treated cells and complete inhibition of proliferation at doses of 0.5 i. LM or greater ( Figure 2A and 2E , p < o. oool ) .","At the doses that caused complete inhibition of proliferation , there was also a signiﬁcant increase in cell death , of approximately 3-fold , when compared to vehicle control ( Figure 2B and 2F , p < o. oool ) ."}	{"When treated with 5-aza-CdR at doses of 0.005 — 2.5 LLM , there was a similar dosedependent inhibition of proliferation and induction of cell death in PC3 cells as there was in LNCaP cells ( Figure 2A .","— ."}
RELATION_GENEHPOTERM_SCPDFS_240.pdf_361_361_4,4_19,20	AR/HP:0012125|Prostate cancer	{4,19,20}	{The,hinge,domain,"null",AR,variants,V2,",",V5,",",V7,",",and,V4,are,predominantly,expressed,in,22Rv1,prostate,cancer,cells,(,Dehm,et,al.,",",2008,;,Guo,et,al.,",",2009,;,Hu,et,al.,",",2009,),.}	{"None of the hinge domain null AR variants examined , including AR-V2 , V5 , V7 , and V4 ( Dehm and Tindall , 2011 ) , was bound by SPOP ( Figures 4A and 4B ) .","importantly , the steady-state levels of all of the AR variants examined , except v567es , were unaffected by SPOP ( Figure 4C ) ."}	{"We demonstrated that SPOP binds to endogenous full-length AR , but not these endogenous variants in 22Rv1 cells ( Figure 4D ) .","Accordingly , Overexpression of SPOP WT , but not the enzymatic dead mutant SPOPABTB , decreased the steady-state level of endogenous full-length AR in a dose-dependent manner ."}
RELATION_GENEHPOTERM_journal.pone.0101991.pdf_41_41_35,35_19,20	p53/HP:0012125|Prostate cancer	{35,19,20}	{SR,induces,apoptosis,in,several,cancer,cell,lines,",",such,as,T-cell,leukemia,",",breast,",",colon,",",and,prostate,cancer,",",by,targeting,different,molecules,",",such,as,caspases,",",PARP,",",p21,",",p53,and,Bax,[,lO,—,l4,],.}	{"SR is a highly reactive and hydrophobic compound that can alter many cellular processes .","Inhibition of cell proliferation , increased apoptosis , anti-inﬂammatory and antioxidant activities , induction of phase-II detoxiﬁcation enzymes , inhibition of cyclooxygenase 2 , and various other mechanisms have been proposed to explain the anticancer effects of SR [ 9 ] ."}	{"SR also blocks cell cycle through the modulation of G1 / S and G2 / M phases and alters the levels of cyclin A , cyclin B1 , cyclin D1 , p2lcipl/wafl , and KLF4 [ l2 , l5 — l9 ] .","The antileukemic effect of SR was demonstrated in many different cell lines and , recently ,"}
RELATION_GENEHPOTERM_journal.pone.0026155.pdf_375_375_29,32_45,46	heat_shock_protein_90/HP:0003003|Colon cancer	{29,30,31,32,45,46}	{Chung,YL,",",Troy,H,",",Banerji,U,",",Jackson,LE,",",VValton,IVII,",",et,al.,(,2003,),l,"\\\\",’,Iagnetic,resonance,spectroscopic,pharmacodynamic,markers,ofthe,heat,shock,protein,90,inhibitor,l7,~,ally1amino,",17",~,demethoxygeldanamycin,(,l7AAG,),in,human,colon,cancer,models,.}	{"Brandes A , V \\\\ lard C , Ronen SIVI ( 2010 ) 17 ~ a1lyamino17demethoxygeldanamycin treatment results in a magnetic resonance spectroscopy — detectable elevation in choline-containing metabolites associated with increased expression of choline transporter SLC44Al and phospholipase A2 .","Breast Cancer Res 12 : R84 ."}	{"J Natl Cancer Inst 95 : 162441633 .",.}
RELATION_GENEHPOTERM_journal.pone.0032249.pdf_117_117_24,24_19,19	insulin/HP:0003074|Hyperglycemia	{24,19}	{Plasma,insulin,secretion,in,response,to,intraperitoneal,glucose,injection,was,blunted,in,male,diabetic,TG,mice,",",indicating,that,hyperglycemia,was,caused,by,impaired,insulin,secretion,in,these,mice,(,Fig,.}	{"1A , around 30 % of male TG mice showed hyperglycemia in both fasted and fed conditions .","Interestingly , none of the female TG mice developed hyperglycemia ."}	{"1B ) .","However , around 70 % of male and all female TG mice showed almost normal blood glucose levels ( Fig ."}
RELATION_GENEHPOTERM_journal.pone.0007905.pdf_466_466_14,14_10,11	insulin/HP:0001824|Weight loss	{14,10,11}	{Gastric,bypass,surgery,results,in,signiﬁcant,metabolic,changes,associated,with,weight,loss,",",improved,insulin,sensitivity,and,glucose,homeostasis,",",and,a,reduction,in,co-morbidities,such,as}	{"No relationships were identiﬁed when correlating the delta values for changes in BMI and HOMA-IR with these 8 metabolites ( data not shown ) .",Discussion}	{"OBID OB","1,5-AG Serum Levels ( Arbitrary Units ) o ' :"}
RELATION_GENEHPOTERM_gb-2001-3-1-reviews3001.pdf_322_322_48,48_19,20	APC/HP:0003003|Colon cancer	{48,19,20}	{Interestingly,",",mutations,in,CTNNb1,and,APC,are,rarely,found,in,the,same,tumor,;,for,example,",",in,colon,cancer,",",in,which,the,vast,majority,of,tumors,have,mutations,in,APC,",",the,overall,frequency,of,CTNNb1,mutations,is,relatively,low,",",but,colorectal,tumors,lacking,APC,mutations,are,much,more,likely,to,have,mutations,in,CTNNb1,.}	{"Significantly , these truncations in APC remove binding sites for B-catenin and Axin , as well as putative phosphorylation sites for GSK3 ; as a result , the mutant APC protein can not efﬁciently promote degradation of B-catenin .","Mutations in the third exon of the human B-catenin gene ( CT1 \\\\ UVb1 ) that make it refractory to phosphorylation-dependent degradation and lead to inappropriate accumulation of B-catenin have also been identiﬁed in a large number of primary human cancers ( see [ 64 ] for a table of B-catenin mutations in human cancers ) ."}	{"Recently , Axin has also been shown to act as a tumor suppressor ; mutations in the Axin1 gene have been found in human hepatocellular cancers [ 86 ] .","Importantly , mutations in Axin1 and CTNNb1 found in hepatocellular carcinomas also show mutual exclusivity similar to that seen for APC and CT1 \\\\ UVb1 in colon cancers ."}
