relation_id	relation_name	gene_words	hpoterm_words	words	sentences_before	sentences_after	expectation
RELATION_GENEHPOTERM_SCPDFS_20252.pdf_28_28_22_22_11_14	DKK1/HP:0012175|Resistance to activated protein C	{22}	{11,12,13,14}	{Abbreviations,:,ANGPTL,angiopoietin,—,like,protein,1,;,APCR,",",activated,protein,C,resistance,;,ART,",",assisted,reproductive,technology,;,DKK1,",",Dickkopf,—,related,protein,1,;,ECM,",",extracellular,matrix,;,EG,.}	{"Successful implantation depends on synchronization between the developmental stages of an embryo itself and the complex molecular and cellular events induced by paracrine and autocrine regulators in endometrium within the implantation window .","Endometrial biopsy and dating of the endometrium according to the classical criteria of Noyes were once used widely to ascertain that the ovulation has"}	{"— .","VEGF , endocrine gland — derived vascular endothelial growth factor ; GAPDH , glyceraldehyde 3 — phosphate dehydrogenase ; HB ."}	0.006
RELATION_GENEHPOTERM_journal.pone.0093279.pdf_48_48_7_7_1_2	IL-22/HP:0001370|Rheumatoid arthritis	{7}	{1,2}	{In,rheumatoid,arthritis,(,RA,),",",IL-22,responses,are,increased,in,peripheral,blood,and,joints,",",IL-22,induces,RANKL,",",and,the,magnitude,of,IL-22,response,correlates,with,inﬂammatory,markers,(,ESR,and,CRP,),",",RA,disease,activity,scores,and,degree,of,bone,damage,[,l3,",",l4,",",l5,",",l6,",",l7,",",l8,],.}	{"IL-22 is primarily produced by CD4 T cells , NK cells , and LTi cells [ 1 ] .","The receptor for IL-22 is a heterodimeric receptor composed of the IL-22Rl subunit exclusive to IL-22 and the IL-l0R2 subunit which is the shared subunit with other members of the IL-10 family of cytokines К IL-22 is pathogenic in psoriasis and protective in inﬂammatory bowel disease , hepatitis , Klebsiella pneumonia , myocarditis , ulcerative colitis , airway inﬂammation and autoimmune allergic asthma [ 3,4,5,6,7,8,9 , l0 , l l , l2 ] ."}	{"IL-22 knock-out mice have reduced incidence of collagen induced arthritis ( CIA ; the most widely used model of autoimmune inﬂammatory arthritis ) [ 19 ] .",In}	0.05
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0069506.pdf_280_280_6_6_9_14_UNSUP	MAR/HP:0007984|Reduced amplitude of b-wave (ERG)	{6}	{9,11,12,14}	{These,results,demonstrate,the,ability,of,MAR,autoantibodies,to,reduce,the,b-wave,amplitude,of,ERG,by,targeting,a,key,component,of,the,ONbipolar,cell,signal,transduction,pathway,.}	{"/ mouse retina .","Furthermore , we show that injection of MAR IgG into mouse eyes leads to attenuation of the ERG b-wave and the appearance of the human antibodies in the retinal ON-bipolar cells ."}	{"In addition to the above work , we further localized the epitope of the TRPM1 autoantibodies to the intracellular , amino-terminal domain by expressing partial TRPM1 sequences .","In order to understand how retinopathy may be caused by TRPM1 autoantibodies , retinal neurons were cultured in the presence of MAR serum ."}	0.046
RELATION_GENEHPOTERM_journal.pone.0101093.pdf_1691_1691_28_28_20_22	PTPN22/HP:0001677|Coronary artery disease	{28}	{20,21,22}	{Saccucci,P,",",Banci,l,"\\\\",’,I,",",Amante,A,",",Bottini,E,",",Gloria-Bottini,F,(,2011,),Coronary,artery,disease,:,evidence,of,interaction,between,PTPN22,and,p53,genetic,polymorphisms,.}	{"The Cardiovascular Risk in Young Finns Study .","Clin Exp Immunol 147 : 2654269 ."}	{"Cardiology 120 : 1664168 .","Quarles RH ( 2002 ) l \\\\ ’ Iyelin sheaths : glycoproteins involved in their formation , maintenance and degeneration ."}	0.382
RELATION_GENEHPOTERM_journal.pone.0100620.pdf_136_136_10_10_4_5	D1/HP:0003003|Colon cancer	{10}	{4,5}	{In,both,gastric,and,colon,cancers,",",miR-365,targeted,Cyclin,D1,(,CCND1,),to,inhibit,cell,cycle,progression,to,repress,tumorigenesis,[,"8,11",],.}	{"The root causes for the development of speciﬁc cancers are drastically different .","The role of miR-365 in a speciﬁc type of cancer is potentially determined by whether the key component of a speciﬁc signaling pathway is the target gene of miR-365 ."}	{"However , in pancreatic cancer , miR-365 promote the resistance to Gemcitabine , a standard chemotherapeutic agent for pancreatic cancer , by directly targeted adaptor protein Src Homology 2 Domain Containing 1 ( SHC1 ) and apoptosis-promoting protein BAX [ 9 ] .","In CSCC , miR-365 was overexpressed in both cells and clinical specimens ."}	0.71
RELATION_GENEHPOTERM_journal.pone.0061446.pdf_601_601_22_22_30_34	CD70/HP:0006770|Clear cell renal cell carcinoma	{22}	{30,31,32,34}	{Diegmann,J,",",Junker,K,",",Gerstmayer,B,",",Bosio,A,",",Hindermann,VV,",",et,al.,(,2005,),Identification,of,CD70,as,a,diagnostic,l,),iomarker,for,clear,cell,renal,cell,carcinoma,by,gene,expression,profiling,",",real-time,RT,~,PCR,and,immunohistochemistry,.}	{"Junker K , Hindermann VV , von Eggeling F , Diegmann J , Haessler K , et al. ( 2005 ) CD70 : a new tumor specific biomarker for renal cell carcinoma .","J Urol 173 : 215042153 ."}	{"EurJ Cancer 41 : 179441801 .","Thrash-Bingham CA , Greenberg RE , Howard S , Bruzel A , Bremer l \\\\ ’ I , et al. ( 1995 ) Comprehensive allelotyping of human renal cell carcinomas using microsatellite DNA probes ."}	0.354
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0075508.pdf_76_76_50_50_24_24_UNSUP	S1/HP:0100753|Schizophrenia	{50}	{24}	{Additionally,",",correlation,analyses,of,birth,dates,with,demographic,and,clinical,variables,demonstrated,an,absence,of,signiﬁcant,relationships,",",except,for,the,age,of,schizophrenia,onset,",",which,indicated,an,increase,in,the,age,of,schizophrenia,onset,for,patients,born,in,January,and,February,(,see,Supporting,Information,",",Figure,S1,),.}	{"Furthermore , a MATLAB Toolbox for Circular Statistics was employed to analyse the birth distribution of patients and healthy controls across the year and their correlates with demographic and clinical variables with signiﬁcance set at p < 0.05 [ 28 ] .","Circular statistics conﬁrmed the lack of group differences in birth distribution during the year ( Figure 1 ) ."}	{"Imaging Methods DTI images were acquired for all subjects using a 3-Tesla Magnetom Trio TIM system ( Siemens Erlangen , Germany ) using a l2-channel array head coil .","Spin-echo planar imaging sequence was performed with two 180 ° pulses and a repetition time / echo time of 6,500 / 96 ms with a matrix of l28 > < 128 , a ﬁeld of view of 256 X256 mm2 , 52 slices , a slice thickness of 2 mm , a gap thickness ofo mm , a pixel bandwidth of 1396 Hz/pixel and N = 2 averages , 4 b-values of o s/mm2 and a b-value of 1,300 s/mm ?"}	0
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0088188.pdf_426_426_1_1_27_29_UNSUP	AC/HP:0012076|Borderline personality disorder	{1}	{27,28,29}	{Ruocco,AC,",",Laporte,L,",",Russell,J,",",Guttman,H,",",Paris,J,(,2012,),Response,inhibition,deficits,in,unaffected,first-degree,relatives,of,patients,with,borderline,personality,disorder,.}	{"Arch Gen Psychiatry 53 : 6814687 .",.}	{"Neuropsychology 26 : 4734482 .","Jamadar S , DeVito EE , Jiantonio RE , 1 \\\\ ’ Ieda SA , Stevens l \\\\ IC , et al. ( 2012 ) RIemantine , an NRIDA receptor antagonist , differentially inﬂuences Go/No ~ Go performance and f1 \\\\ IRI activity in individuals with and without a family history of alcoholism ."}	0
RELATION_GENEHPOTERM_journal.pone.0032755.pdf_256_256_22_22_26_26	insulin/HP:0012197|Insulinoma	{22}	{26}	{Pereverzev,A,",",Vajna,R,",",Pfitzer,G,",",Hescheler,J,",",Klockner,U,",",et,al.,(,2002,),Reduction,of,insulin,secretion,in,the,insulinoma,cell,line,INS-1,l,),y,overexpression,of,a,Ca,(,v,),2.3,(,alphalE,),calcium,channel,antisense,cassette,.}	{"J Clin Invest 115 : l46 — l54 .","4 ."}	{"EurJ Endocrinol 146 : 88l — 889 .","5 ."}	0.246
RELATION_GENEHPOTERM_SUP_F_H_journal.pntd.0001857.pdf_168_168_2_2_25_25_UNSUP	IL-6/correlation	{2}	{25}	{The,CSF,IL-6,(,Figure,1e,),concentration,was,increased,above,control,levels,in,both,early,and,late,stage,cases,",",there,was,also,signiﬁcant,correlation,to,duration,of,infection,(,rs,=,0.46,p,<,o.,ol,),.}	{"TNF-oz levels ( Figure 1c ) in all control and early stage CSF samples were below the assay limit of detection , but were detectable at a signiﬁcant level in 5 / 21 late stage cases .","TGF-B levels ( Figure ld ) were signiﬁcantly higher in early stage samples compared to late stage although there was no signiﬁcant correlation with duration of infection ."}	{"When the relationships between the expression of each of the CSF cytokines were evaluated , signiﬁcant positive relationships were identiﬁed between TNF-ot and IL-10 ( rs = 0.42 p < o.o 1 ) ; IL-6 and ILlo ( rS - = 0.38 p < 0.05 ) ; IL-6 and IFN-y ( rs = 0.37 p < 0.05 ) and a negative relationship between TGF-B and ILlo ( rs = -0.4 p < o. ool ) .","IL-10 and TGF-B concentrations were signiﬁcantly predictive of diagnosis stage in univariate logistic regression ( likelihood ratio test p < o. oool for both cytokines ) ."}	0.012
