OMIM:264800	PSEUDOXANTHOMA ELASTICUM|^|PXE	GRONBLAD STRANDBERG SYNDROME
OMIM:612095	RETINITIS PIGMENTOSA 41|^|RP41	
OMIM:614680	INFLUENZA SEVERE SUSCEPTIBILITY TO	
OMIM:614684	HYPERTELORISM AND OTHER FACIAL DYSMORPHISM BRACHYDACTYLY GENITAL ABNORMALITIES MENTAL RETARDATION AND RECURRENT INFLAMMATORY EPISODES	
OMIM:608787	OTOSCLEROSIS 5|^|OTSC5	
OMIM:614689	SOLUBLE INTERLEUKIN 6 RECEPTOR SERUM LEVEL OF QUANTITATIVE TRAIT LOCUS	SOLUBLE IL6R SERUM LEVEL OF QUANTITATIVE TRAIT LOCUS
OMIM:224410	DYSSEGMENTAL DYSPLASIA SILVERMAN HANDMAKER TYPE|^|DDSH	DYSSEGMENTAL DWARFISM SILVERMAN HANDMAKER TYPE|^|ANISOSPONDYLIC CAMPTOMICROMELIC DWARFISM SILVERMAN HANDMAKER TYPE
OMIM:608781	ASPERGER SYNDROME SUSCEPTIBILITY TO 3|^|ASPG3	
OMIM:185050	STORAGE POOL PLATELET DISEASE	
OMIM:226670	EPIDERMOLYSIS BULLOSA SIMPLEX WITH MUSCULAR DYSTROPHY|^|EBSMD	EPIDERMOLYSIS BULLOSA SIMPLEX AND LIMB GIRDLE MUSCULAR DYSTROPHY|^|MD EBS|^|MDEBS
OMIM:160300	MYOPATHY DISTAL INFANTILE ONSET	
OMIM:615374	CONE ROD DYSTROPHY 18|^|CORD18	
OMIM:615377	ATRIAL FIBRILLATION FAMILIAL 13|^|ATFB13	
OMIM:615376	CHARCOT MARIE TOOTH DISEASE RECESSIVE INTERMEDIATE C|^|CMTRIC	
OMIM:615371	PULMONARY HYPERTENSION NEONATAL SUSCEPTIBILITY TO|^|PHN	
OMIM:615373	LEFT VENTRICULAR NONCOMPACTION 8|^|LVNC8	
OMIM:615378	ATRIAL FIBRILLATION FAMILIAL 14|^|ATFB14	
OMIM:608562	POLYDACTYLY POSTAXIAL TYPE A4	PAPA4
OMIM:614976	CARPENTER SYNDROME 2|^|CRPT2	
OMIM:614970	JOUBERT SYNDROME 20|^|JBTS20	
OMIM:608567	SICK SINUS SYNDROME 1 AUTOSOMAL RECESSIVE|^|SSS1	
OMIM:614972	CHOLESTASIS INTRAHEPATIC OF PREGNANCY 3|^|ICP3	
OMIM:608565	DEAFNESS AUTOSOMAL RECESSIVE 35|^|DFNB35	
OMIM:608569	CARDIOMYOPATHY DILATED 1O|^|CMD1O	
OMIM:614979	SPLENOMEGALY CYTOPENIA AND VISION LOSS	
OMIM:230400	GALACTOSEMIA	GALACTOSE 1 PHOSPHATE URIDYLYLTRANSFERASE DEFICIENCY|^|GALT DEFICIENCY|^|GALACTOSEMIA CLASSIC
OMIM:615085	OSTEOPETROSIS AUTOSOMAL RECESSIVE 8|^|OPTB8	
OMIM:615084	MITOCHONDRIAL DNA DEPLETION SYNDROME 11|^|MTDPS11	
OMIM:615083	COLORECTAL CANCER SUSCEPTIBILITY TO 12|^|CRCS12	COLORECTAL CANCER SUSCEPTIBILITY TO ON CHROMOSOME 12q24
OMIM:615082	C3HEX ABILITY TO SMELL	
OMIM:615081	SPERMATOGENIC FAILURE 11|^|SPGF11	
OMIM:615080	ALZHEIMER DISEASE 17|^|AD17	ALZHEIMER DISEASE 17 LATE ONSET
OMIM:116800	CATARACT 5 MULTIPLE TYPES|^|CTRCT5	
OMIM:272440	FILIPPI SYNDROME|^|FLPIS	SYNDACTYLY TYPE I WITH MICROCEPHALY AND MENTAL RETARDATION|^|SCOTT CRANIODIGITAL SYNDROME WITH MENTAL RETARDATION
OMIM:116200	CATARACT 1 MULTIPLE TYPES|^|CTRCT1	
OMIM:140600	OSTEOARTHRITIS SUSCEPTIBILITY 2|^|OS2	OSTEOARTHRITIS OF DISTAL INTERPHALANGEAL JOINTS|^|OADIP|^|DIPOA|^|HAND OSTEOARTHRITIS|^|HOA
OMIM:149730	LACRIMOAURICULODENTODIGITAL SYNDROME|^|LADD	LEVY HOLLISTER SYNDROME
OMIM:615887	AMELOGENESIS IMPERFECTA HYPOMATURATION TYPE IIA5|^|AI2A5	
OMIM:601321	NEUROFIBROMATOSIS NOONAN SYNDROME|^|NFNS	NEUROFIBROMATOSIS WITH NOONAN PHENOTYPE
OMIM:601452	OCULOAURICULOFRONTONASAL SYNDROME|^|OAFNS	OCULOAURICULOFRONTONASAL DYSPLASIA
OMIM:601455	CHARCOT MARIE TOOTH DISEASE TYPE 4D|^|CMT4D	
OMIM:601454	PSORIASIS 3 SUSCEPTIBILITY TO|^|PSORS3	
OMIM:601457	SEVERE COMBINED IMMUNODEFICIENCY AUTOSOMAL RECESSIVE T CELL NEGATIVE B CELL NEGATIVE NK CELL POSITIVE	SCID T CELL NEGATIVE B CELL NEGATIVE NK CELL POSITIVE
OMIM:601458	INFLAMMATORY BOWEL DISEASE 2|^|IBD2	
OMIM:615889	LEUKOENCEPHALOPATHY PROGRESSIVE WITH OVARIAN FAILURE|^|LKENP	
OMIM:615888	BLEEDING DISORDER PLATELET TYPE 18|^|BDPLT18	
OMIM:612359	COWDEN SYNDROME 2|^|CWS2	
OMIM:300960	MEND SYNDROME|^|MEND	MALE EBP DISORDER WITH NEUROLOGIC DEFECTS
OMIM:300963	RITSCHER SCHINZEL SYNDROME 2|^|RTSC2	
OMIM:612356	HEPARIN COFACTOR II DEFICIENCY	
OMIM:225320	EHLERS DANLOS SYNDROME AUTOSOMAL RECESSIVE CARDIAC VALVULAR FORM	
OMIM:612354	INFLAMMATORY BOWEL DISEASE 21|^|IBD21	
OMIM:300966	MENTAL RETARDATION X LINKED SYNDROMIC 33|^|MRXS33	
OMIM:606928	BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 3|^|BMND3	BONE MINERAL DENSITY LOW SUSCEPTIBILITY TO
OMIM:300633	HYPOSPADIAS 1 X LINKED|^|HYSP1	
OMIM:300635	LYMPHOPROLIFERATIVE SYNDROME X LINKED 2|^|XLP2	
OMIM:613339	EPILEPSY HOT WATER 1|^|HWE1	
OMIM:300636	IMMUNODEFICIENCY 33|^|IMD33	IMMUNODEFICIENCY 33 MYCOBACTERIOSIS X LINKED|^|ATYPICAL MYCOBACTERIOSIS FAMILIAL X LINKED 1|^|AMCBX1
OMIM:150250	LARSEN SYNDROME|^|LRS	
OMIM:613330	SPONDYLO MEGAEPIPHYSEAL METAPHYSEAL DYSPLASIA|^|SMMD	
OMIM:616115	FAMILIAL COLD AUTOINFLAMMATORY SYNDROME 4|^|FCAS4	
OMIM:172150	6 PHOSPHOGLUCONOLACTONASE DEFICIENCY	PGLS DEFICIENCY|^|6PGL DEFICIENCY
OMIM:616116	MENTAL RETARDATION AUTOSOMAL RECESSIVE 46|^|MRT46	
OMIM:175100	FAMILIAL ADENOMATOUS POLYPOSIS 1|^|FAP1	
OMIM:616672	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 27|^|COXPD27	
OMIM:612539	SPASTIC PARAPLEGIA 42 AUTOSOMAL DOMINANT|^|SPG42	
OMIM:616113	POLYENDOCRINE POLYNEUROPATHY SYNDROME|^|PEPNS	
OMIM:612530	CHROMOSOME 1q41 q42 DELETION SYNDROME	
OMIM:613480	LYMPHEDEMA HEREDITARY IC|^|LMPH1C	
OMIM:613485	LONG QT SYNDROME 13|^|LQT13	
OMIM:613489	CONGENITAL DISORDER OF GLYCOSYLATION TYPE IIj|^|CDG2J	
OMIM:613488	MYXOID LIPOSARCOMA	
OMIM:112050	BLOOD GROUP WRIGHT ANTIGEN|^|WR	
OMIM:259780	OTOONYCHOPERONEAL SYNDROME	
OMIM:600320	DIABETES MELLITUS INSULIN DEPENDENT 5|^|IDDM5	
OMIM:600321	DIABETES MELLITUS INSULIN DEPENDENT 7|^|IDDM7	
OMIM:600496	MATURITY ONSET DIABETES OF THE YOUNG TYPE 3|^|MODY3	MODY TYPE 3
OMIM:600325	AMINOPTERIN SYNDROME SINE AMINOPTERIN|^|ASSA	PSEUDOAMINOPTERIN SYNDROME
OMIM:607864	CAUDAL DUPLICATION ANOMALY	
OMIM:607313	GAZE PALSY FAMILIAL HORIZONTAL WITH PROGRESSIVE SCOLIOSIS|^|HGPPS	
OMIM:218100	CRANIAL NERVES CONGENITAL PARESIS OF	
OMIM:607644	CANDIDIASIS FAMILIAL 3|^|CANDF3	
OMIM:607317	SPINOCEREBELLAR ATAXIA AUTOSOMAL RECESSIVE 4|^|SCAR4	SPINOCEREBELLAR ATAXIA WITH SACCADIC INTRUSIONS|^|SCASI|^|SPINOCEREBELLAR ATAXIA 24 FORMERLY|^|SCA24 FORMERLY
OMIM:119915	CLUSTER HEADACHE FAMILIAL	
OMIM:232240	GLYCOGEN STORAGE DISEASE Ic	GSD1C
OMIM:616078	MENTAL RETARDATION AUTOSOMAL DOMINANT 29|^|MRD29	
OMIM:610688	JOUBERT SYNDROME 6|^|JBTS6	
OMIM:610687	NEMALINE MYOPATHY 7|^|NEM7	
OMIM:610685	SPLIT HAND FOOT MALFORMATION WITH LONG BONE DEFICIENCY 2|^|SHFLD2	
OMIM:610682	OSTEOGENESIS IMPERFECTA TYPE VII|^|OI7	
OMIM:614756	CEREBELLAR ATAXIA NONPROGRESSIVE WITH MENTAL RETARDATION|^|CANPMR	
OMIM:236000	LYMPHOMA HODGKIN CLASSIC|^|CHL	HODGKIN DISEASE
OMIM:180750	ROBINOW SORAUF SYNDROME	CRANIOSYNOSTOSIS BIFID HALLUX SYNDROME|^|ACROCEPHALOSYNDACTYLY ROBINOW SORAUF TYPE
OMIM:614750	MYASTHENIC SYNDROME CONGENITAL 13|^|CMS13	
