OMIM:100070	HP:0004953
OMIM:100100	HP:0000007
OMIM:100100	HP:0000217
OMIM:100100	HP:0002564
OMIM:100100	HP:0001643
OMIM:100100	HP:0000767
OMIM:100100	HP:0000768
OMIM:100100	HP:0005199
OMIM:100100	HP:0002023
OMIM:100100	HP:0000028
OMIM:100100	HP:0000126
OMIM:100100	HP:0010957
OMIM:100100	HP:0000072
OMIM:100100	HP:0001374
OMIM:100100	HP:0001762
OMIM:100100	HP:0001562
OMIM:100300	HP:0000006
OMIM:100300	HP:0000252
OMIM:100300	HP:0004476
OMIM:100300	HP:0000565
OMIM:100300	HP:0000568
OMIM:100300	HP:0000204
OMIM:100300	HP:0000175
OMIM:100300	HP:0002564
OMIM:100300	HP:0001629
OMIM:100300	HP:0001631
OMIM:100300	HP:0001642
OMIM:100300	HP:0001636
OMIM:100300	HP:0004415
OMIM:100300	HP:0002092
OMIM:100300	HP:0002558
OMIM:100300	HP:0001156
OMIM:100300	HP:0001159
OMIM:100300	HP:0001159
OMIM:100300	HP:0001762
OMIM:100300	HP:0007590
OMIM:100300	HP:0007589
OMIM:100300	HP:0000965
OMIM:100300	HP:0001792
OMIM:100300	HP:0002084
OMIM:100300	HP:0001249
OMIM:100300	HP:0001263
OMIM:100300	HP:0001250
OMIM:100300	HP:0001252
OMIM:100300	HP:0002119
OMIM:100300	HP:0006970
OMIM:100300	HP:0002079
OMIM:100300	HP:0002539
OMIM:100300	HP:0001302
OMIM:100300	HP:0002126
OMIM:100300	HP:0003812
OMIM:100600	HP:0000006
OMIM:100800	HP:0000006
OMIM:100800	HP:0008921
OMIM:100800	HP:0002007
OMIM:100800	HP:0001355
OMIM:100800	HP:0011800
OMIM:100800	HP:0000405
OMIM:100800	HP:0005280
OMIM:100800	HP:0002781
OMIM:100800	HP:0002761
OMIM:100800	HP:0002677
OMIM:100800	HP:0008414
OMIM:100800	HP:0008905
OMIM:100800	HP:0100864
OMIM:100800	HP:0003015
OMIM:100800	HP:0001156
OMIM:100800	HP:0004060
OMIM:100800	HP:0002512
OMIM:100800	HP:0001270
OMIM:100820	HP:0000006
OMIM:101000	HP:0000006
OMIM:101000	HP:0000365
OMIM:101000	HP:0000360
OMIM:101000	HP:0007935
OMIM:101000	HP:0007876
OMIM:101000	HP:0100014
OMIM:101000	HP:0009594
OMIM:101000	HP:0100008
OMIM:101000	HP:0002315
OMIM:101000	HP:0001251
OMIM:101000	HP:0009830
OMIM:101000	HP:0002858
OMIM:101000	HP:0009733
OMIM:101000	HP:0009588
OMIM:101000	HP:0002888
OMIM:101000	HP:0009592
OMIM:101200	HP:0000006
OMIM:101200	HP:0004487
OMIM:101200	HP:0000244
OMIM:101200	HP:0000239
OMIM:101200	HP:0001355
OMIM:101200	HP:0012368
OMIM:101200	HP:0011800
OMIM:101200	HP:0000303
OMIM:101200	HP:0000365
OMIM:101200	HP:0000389
OMIM:101200	HP:0000586
OMIM:101200	HP:0000316
OMIM:101200	HP:0000494
OMIM:101200	HP:0000520
OMIM:101200	HP:0005280
OMIM:101200	HP:0000486
OMIM:101200	HP:0000189
OMIM:101200	HP:0000175
OMIM:101200	HP:0000193
OMIM:101200	HP:0000689
OMIM:101200	HP:0000684
OMIM:101200	HP:0001629
OMIM:101200	HP:0002623
OMIM:101200	HP:0004468
OMIM:101200	HP:0002021
OMIM:101200	HP:0002032
OMIM:101200	HP:0004397
OMIM:101200	HP:0000028
OMIM:101200	HP:0000148
OMIM:101200	HP:0000126
OMIM:101200	HP:0004440
OMIM:101200	HP:0003041
OMIM:101200	HP:0100258
OMIM:101200	HP:0001162
OMIM:101200	HP:0008111
OMIM:101200	HP:0100258
OMIM:101200	HP:0001162
OMIM:101200	HP:0001274
OMIM:101200	HP:0002119
OMIM:101200	HP:0001331
OMIM:101200	HP:0007343
OMIM:101200	HP:0007099
OMIM:101200	HP:0000238
OMIM:101400	HP:0000006
OMIM:101400	HP:0004322
OMIM:101400	HP:0000248
OMIM:101400	HP:0000263
OMIM:101400	HP:0012368
OMIM:101400	HP:0000294
OMIM:101400	HP:0000324
OMIM:101400	HP:0008551
OMIM:101400	HP:0000369
OMIM:101400	HP:0000365
OMIM:101400	HP:0000586
OMIM:101400	HP:0000316
OMIM:101400	HP:0001357
OMIM:101400	HP:0000486
OMIM:101400	HP:0000557
OMIM:101400	HP:0000508
OMIM:101400	HP:0000444
OMIM:101400	HP:0000189
OMIM:101400	HP:0000175
OMIM:101400	HP:0002564
OMIM:101400	HP:0000270
OMIM:101400	HP:0000263
OMIM:101400	HP:0002697
OMIM:101400	HP:0002974
OMIM:101400	HP:0010104
OMIM:101400	HP:0001156
OMIM:101400	HP:0004209
OMIM:101400	HP:0001159
OMIM:101400	HP:0001822
OMIM:101400	HP:0003828
OMIM:101600	HP:0000006
OMIM:101600	HP:0000244
OMIM:101600	HP:0000303
OMIM:101600	HP:0000586
OMIM:101600	HP:0000316
OMIM:101600	HP:0000494
OMIM:101600	HP:0000520
OMIM:101600	HP:0000486
OMIM:101600	HP:0003196
OMIM:101600	HP:0005280
OMIM:101600	HP:0000218
OMIM:101600	HP:0000678
OMIM:101600	HP:0005347
OMIM:101600	HP:0001363
OMIM:101600	HP:0003041
OMIM:101600	HP:0011304
OMIM:101600	HP:0010055
OMIM:101600	HP:0000238
OMIM:101600	HP:0002308
OMIM:101800	HP:0000006
OMIM:101800	HP:0004322
OMIM:101800	HP:0008873
OMIM:101800	HP:0000248
OMIM:101800	HP:0000303
OMIM:101800	HP:0000365
OMIM:101800	HP:0000286
OMIM:101800	HP:0000316
OMIM:101800	HP:0000648
OMIM:101800	HP:0000486
OMIM:101800	HP:0000635
OMIM:101800	HP:0005280
OMIM:101800	HP:0000455
OMIM:101800	HP:0000689
OMIM:101800	HP:0000684
OMIM:101800	HP:0000668
OMIM:101800	HP:0000028
OMIM:101800	HP:0005616
OMIM:101800	HP:0005756
OMIM:101800	HP:0004490
OMIM:101800	HP:0003416
OMIM:101800	HP:0002650
OMIM:101800	HP:0008450
OMIM:101800	HP:0008479
OMIM:101800	HP:0003083
OMIM:101800	HP:0010049
OMIM:101800	HP:0009803
OMIM:101800	HP:0010579
OMIM:101800	HP:0001847
OMIM:101800	HP:0010743
OMIM:101800	HP:0000995
OMIM:101800	HP:0001249
OMIM:101800	HP:0000238
OMIM:101800	HP:0000135
OMIM:101800	HP:0003165
OMIM:101850	HP:0000962
OMIM:101850	HP:0200016
OMIM:101850	HP:0000006
OMIM:101900	HP:0000006
OMIM:101900	HP:0000962
OMIM:101900	HP:0001807
OMIM:102100	HP:0000098
OMIM:102100	HP:0000977
OMIM:102100	HP:0030314
OMIM:102100	HP:0000006
OMIM:102150	HP:0000006
OMIM:102150	HP:0000581
OMIM:102150	HP:0002553
OMIM:102150	HP:0000414
OMIM:102150	HP:0001182
OMIM:102150	HP:0001256
OMIM:102200	HP:0000006
OMIM:102200	HP:0001428
OMIM:102200	HP:0000280
OMIM:102200	HP:0001638
OMIM:102200	HP:0001712
OMIM:102200	HP:0000822
OMIM:102200	HP:0000845
OMIM:102200	HP:0000858
OMIM:102200	HP:0002893
OMIM:102200	HP:0030269
OMIM:102300	HP:0000006
OMIM:102300	HP:0001336
OMIM:102300	HP:0001425
OMIM:102350	HP:0000006
OMIM:102370	HP:0000006
OMIM:102370	HP:0003510
OMIM:102370	HP:0000311
OMIM:102370	HP:0000343
OMIM:102370	HP:0002002
OMIM:102370	HP:0000527
OMIM:102370	HP:0000414
OMIM:102370	HP:0000463
OMIM:102370	HP:0000160
OMIM:102370	HP:0012471
OMIM:102370	HP:0002750
OMIM:102370	HP:0003300
OMIM:102370	HP:0010579
OMIM:102370	HP:0003026
OMIM:102370	HP:0004279
OMIM:102370	HP:0005900
OMIM:102370	HP:0001773
OMIM:102370	HP:0000527
OMIM:102370	HP:0001609
OMIM:102500	HP:0000006
OMIM:102500	HP:0004322
OMIM:102500	HP:0001508
OMIM:102500	HP:0000280
OMIM:102500	HP:0000343
OMIM:102500	HP:0000293
OMIM:102500	HP:0000347
OMIM:102500	HP:0000369
OMIM:102500	HP:0000405
OMIM:102500	HP:0009748
OMIM:102500	HP:0000494
OMIM:102500	HP:0000286
OMIM:102500	HP:0000506
OMIM:102500	HP:0000664
OMIM:102500	HP:0000574
OMIM:102500	HP:0000527
OMIM:102500	HP:0000445
OMIM:102500	HP:0000463
OMIM:102500	HP:0000218
OMIM:102500	HP:0006480
OMIM:102500	HP:0000689
OMIM:102500	HP:0000470
OMIM:102500	HP:0002564
OMIM:102500	HP:0001643
OMIM:102500	HP:0001671
OMIM:102500	HP:0001537
OMIM:102500	HP:0002566
OMIM:102500	HP:0000047
OMIM:102500	HP:0000023
OMIM:102500	HP:0000028
OMIM:102500	HP:0000107
OMIM:102500	HP:0000938
OMIM:102500	HP:0000939
OMIM:102500	HP:0002756
OMIM:102500	HP:0001388
OMIM:102500	HP:0002645
OMIM:102500	HP:0002688
OMIM:102500	HP:0005463
OMIM:102500	HP:0009118
OMIM:102500	HP:0004586
OMIM:102500	HP:0008421
OMIM:102500	HP:0002751
OMIM:102500	HP:0008462
OMIM:102500	HP:0002953
OMIM:102500	HP:0001388
OMIM:102500	HP:0002857
OMIM:102500	HP:0003083
OMIM:102500	HP:0009771
OMIM:102500	HP:0006180
OMIM:102500	HP:0009771
OMIM:102500	HP:0001007
OMIM:102500	HP:0001799
OMIM:102500	HP:0000664
OMIM:102500	HP:0000574
OMIM:102500	HP:0000527
OMIM:102500	HP:0000238
OMIM:102510	HP:0002652
OMIM:102510	HP:0009611
OMIM:102510	HP:0001241
OMIM:102510	HP:0001770
OMIM:102510	HP:0003468
OMIM:102510	HP:0000006
OMIM:102530	HP:0000007
OMIM:102530	HP:0000789
OMIM:102530	HP:0012864
OMIM:102700	HP:0000007
OMIM:102700	HP:0001442
OMIM:102700	HP:0001508
OMIM:102700	HP:0000246
OMIM:102700	HP:0002099
OMIM:102700	HP:0002090
OMIM:102700	HP:0002240
OMIM:102700	HP:0001744
OMIM:102700	HP:0002014
OMIM:102700	HP:0001967
OMIM:102700	HP:0000926
OMIM:102700	HP:0001890
OMIM:102700	HP:0001973
OMIM:102700	HP:0001880
OMIM:102700	HP:0001888
OMIM:102700	HP:0005365
OMIM:102700	HP:0005424
OMIM:102700	HP:0012191
OMIM:102800	HP:0000006
OMIM:102900	HP:0001901
OMIM:102900	HP:0000006
OMIM:103050	HP:0000007
OMIM:103050	HP:0001510
OMIM:103050	HP:0000248
OMIM:103050	HP:0000252
OMIM:103050	HP:0005487
OMIM:103050	HP:0000369
OMIM:103050	HP:0000486
OMIM:103050	HP:0000639
OMIM:103050	HP:0003196
OMIM:103050	HP:0000463
OMIM:103050	HP:0000219
OMIM:103050	HP:0000154
OMIM:103050	HP:0003202
OMIM:103050	HP:0001249
OMIM:103050	HP:0001252
OMIM:103050	HP:0002066
OMIM:103050	HP:0002540
OMIM:103050	HP:0000817
OMIM:103050	HP:0001257
OMIM:103050	HP:0002179
OMIM:103050	HP:0001336
OMIM:103050	HP:0001348
OMIM:103050	HP:0002059
OMIM:103050	HP:0001272
OMIM:103050	HP:0003429
OMIM:103050	HP:0000752
OMIM:103050	HP:0000718
OMIM:103050	HP:0000742
OMIM:103050	HP:0040082
OMIM:103050	HP:0000748
OMIM:103050	HP:0003593
OMIM:103100	HP:0001265
OMIM:103100	HP:0000006
OMIM:103200	HP:0000006
OMIM:103200	HP:0001513
OMIM:103200	HP:0002019
OMIM:103200	HP:0002829
OMIM:103200	HP:0012532
OMIM:103200	HP:0012378
OMIM:103200	HP:0002360
OMIM:103200	HP:0000716
OMIM:103200	HP:0000739
OMIM:103200	HP:0000739
OMIM:103200	HP:0003581
OMIM:103200	HP:0003828
OMIM:103285	HP:0000006
OMIM:103285	HP:0000579
OMIM:103285	HP:0000509
OMIM:103285	HP:0000668
OMIM:103285	HP:0000677
OMIM:103285	HP:0000691
OMIM:103285	HP:0003187
OMIM:103285	HP:0006610
OMIM:103285	HP:0002561
OMIM:103285	HP:0002557
OMIM:103285	HP:0100257
OMIM:103285	HP:0001159
OMIM:103285	HP:0100257
OMIM:103285	HP:0001159
OMIM:103285	HP:0000968
OMIM:103285	HP:0004334
OMIM:103285	HP:0000963
OMIM:103285	HP:0000958
OMIM:103285	HP:0001480
OMIM:103285	HP:0000992
OMIM:103285	HP:0000964
OMIM:103285	HP:0007455
OMIM:103285	HP:0002164
OMIM:103285	HP:0001803
OMIM:103285	HP:0002286
OMIM:103285	HP:0002209
OMIM:103285	HP:0002215
OMIM:103300	HP:0003745
OMIM:103300	HP:0000347
OMIM:103300	HP:0000278
OMIM:103300	HP:0000286
OMIM:103300	HP:0000171
OMIM:103300	HP:0000160
OMIM:103300	HP:0100257
OMIM:103300	HP:0100257
OMIM:103420	HP:0000006
OMIM:103420	HP:0007732
OMIM:103420	HP:0007820
OMIM:103420	HP:0000584
OMIM:103420	HP:0000613
OMIM:103470	HP:0007663
OMIM:103470	HP:0000613
OMIM:103470	HP:0000639
OMIM:103470	HP:0000486
OMIM:103470	HP:0000540
OMIM:103470	HP:0007750
OMIM:103470	HP:0001093
OMIM:103470	HP:0000365
OMIM:103470	HP:0001756
OMIM:103470	HP:0005592
OMIM:103470	HP:0000006
OMIM:103500	HP:0000006
OMIM:103500	HP:0002227
OMIM:103500	HP:0000635
OMIM:103500	HP:0007513
OMIM:103500	HP:0002227
OMIM:103580	HP:0000006
OMIM:103580	HP:0004322
OMIM:103580	HP:0001513
OMIM:103580	HP:0000311
OMIM:103580	HP:0000293
OMIM:103580	HP:0000518
OMIM:103580	HP:0000639
OMIM:103580	HP:0005280
OMIM:103580	HP:0000684
OMIM:103580	HP:0006297
OMIM:103580	HP:0000470
OMIM:103580	HP:0000939
OMIM:103580	HP:0001156
OMIM:103580	HP:0010049
OMIM:103580	HP:0001156
OMIM:103580	HP:0010743
OMIM:103580	HP:0100543
OMIM:103580	HP:0001249
OMIM:103580	HP:0003472
OMIM:103580	HP:0001250
OMIM:103580	HP:0002135
OMIM:103580	HP:0006960
OMIM:103580	HP:0003472
OMIM:103580	HP:0000852
OMIM:103580	HP:0000135
OMIM:103580	HP:0000821
OMIM:103580	HP:0002901
OMIM:103580	HP:0002905
OMIM:103580	HP:0003456
OMIM:103580	HP:0003812
OMIM:103900	HP:0000006
OMIM:103900	HP:0000822
OMIM:103900	HP:0008221
OMIM:103900	HP:0000859
OMIM:103900	HP:0000859
OMIM:103900	HP:0003351
OMIM:104000	HP:0001803
OMIM:104000	HP:0007418
OMIM:104000	HP:0002289
OMIM:104100	HP:0000006
OMIM:104100	HP:0000972
OMIM:104100	HP:0003593
OMIM:104130	HP:0000006
OMIM:104130	HP:0000704
OMIM:104130	HP:0001256
OMIM:104200	HP:0000006
OMIM:104200	HP:0000822
OMIM:104200	HP:0000093
OMIM:104200	HP:0003774
OMIM:104200	HP:0004722
OMIM:104200	HP:0030034
OMIM:104200	HP:0000093
OMIM:104200	HP:0003676
OMIM:104290	HP:0000006
OMIM:104290	HP:0000496
OMIM:104290	HP:0000639
OMIM:104290	HP:0200072
OMIM:104290	HP:0001268
OMIM:104290	HP:0001249
OMIM:104290	HP:0001332
OMIM:104290	HP:0001266
OMIM:104300	HP:0000006
OMIM:104300	HP:0001300
OMIM:104300	HP:0002423
OMIM:104300	HP:0001425
OMIM:104310	HP:0001300
OMIM:104310	HP:0002423
OMIM:104310	HP:0003584
OMIM:104310	HP:0002185
OMIM:104500	HP:0000006
OMIM:104510	HP:0000679
OMIM:104510	HP:0000006
OMIM:104530	HP:0000006
OMIM:104530	HP:0000679
OMIM:104570	HP:0000006
OMIM:104570	HP:0006291
OMIM:104570	HP:0001051
OMIM:104570	HP:0000966
OMIM:104570	HP:0000958
OMIM:104570	HP:0001806
OMIM:105120	HP:0000973
OMIM:105120	HP:0001149
OMIM:105120	HP:0001283
OMIM:105120	HP:0000100
OMIM:105120	HP:0000083
OMIM:105120	HP:0003216
OMIM:105120	HP:0000006
OMIM:105150	HP:0000006
OMIM:105150	HP:0002170
OMIM:105150	HP:0000726
OMIM:105150	HP:0003216
OMIM:105200	HP:0002240
OMIM:105200	HP:0001396
OMIM:105200	HP:0001744
OMIM:105200	HP:0000100
OMIM:105200	HP:0000822
OMIM:105200	HP:0003216
OMIM:105200	HP:0000093
OMIM:105200	HP:0000790
OMIM:105200	HP:0000006
OMIM:105210	HP:0000006
OMIM:105210	HP:0007841
OMIM:105210	HP:0000505
OMIM:105210	HP:0000639
OMIM:105210	HP:0001640
OMIM:105210	HP:0001638
OMIM:105210	HP:0002014
OMIM:105210	HP:0002019
OMIM:105210	HP:0000802
OMIM:105210	HP:0000020
OMIM:105210	HP:0001251
OMIM:105210	HP:0010550
OMIM:105210	HP:0001250
OMIM:105210	HP:0002401
OMIM:105210	HP:0002315
OMIM:105210	HP:0000726
OMIM:105210	HP:0001257
OMIM:105210	HP:0000365
OMIM:105210	HP:0001337
OMIM:105210	HP:0001260
OMIM:105210	HP:0000639
OMIM:105210	HP:0002459
OMIM:105210	HP:0003477
OMIM:105210	HP:0001265
OMIM:105210	HP:0003581
OMIM:105210	HP:0003812
OMIM:105210	HP:0003676
OMIM:105250	HP:0001149
OMIM:105250	HP:0000989
OMIM:105250	HP:0000973
OMIM:105250	HP:0000006
OMIM:105400	HP:0000006
OMIM:105400	HP:0000007
OMIM:105400	HP:0002380
OMIM:105400	HP:0003394
