OMIM:PS601495	Agammaglobulinemia	XLA2|^|BRUTON TYPE AGAMMAGLOBULINEMIA|^|AGAMMAGLOBULINEMIA X LINKED TYPE 1|^|AGMX1|^|IMMUNODEFICIENCY 1|^|IMD1|^|AGAMMAGLOBULINEMIA AUTOSOMAL RECESSIVE DUE TO IGHM DEFECT|^|AGAMMAGLOBULINEMIA AUTOSOMAL RECESSIVE DUE TO CD79B DEFECT|^|AGAMMAGLOBULINEMIA AUTOSOMAL RECESSIVE DUE TO IGLL1 DEFECT|^|AGAMMAGLOBULINEMIA AUTOSOMAL RECESSIVE DUE TO CD79A DEFECT|^|AGAMMAGLOBULINEMIA AUTOSOMAL RECESSIVE DUE TO BLNK DEFECT|^|AGAMMAGLOBULINEMIA AUTOSOMAL DOMINANT DUE TO LRRC8A DEFECT|^|AGAMMAGLOBULINEMIA AUTOSOMAL RECESSIVE DUE TO PIK3R1 DEFECT
OMIM:PS192600	Cardiomyopathy familial hypertrophic	CMH|^|VENTRICULAR HYPERTROPHY HEREDITARY|^|ASYMMETRIC SEPTAL HYPERTROPHY|^|ASH|^|HYPERTROPHIC SUBAORTIC STENOSIS IDIOPATHIC|^|CARDIOMYOPATHY HYPERTROPHIC MID LEFT VENTRICULAR CHAMBER TYPE 1|^|CARDIOMYOPATHY HYPERTROPHIC MID LEFT VENTRICULAR CHAMBER TYPE 2
OMIM:PS160900	Myotonic dystrophy	DYSTROPHIA MYOTONICA 1|^|DYSTROPHIA MYOTONICA|^|DM|^|STEINERT DISEASE|^|DYSTROPHIA MYOTONICA 2|^|PROXIMAL MYOTONIC MYOPATHY|^|PROMM|^|MYOTONIC MYOPATHY PROXIMAL|^|RICKER SYNDROME
OMIM:PS259100	Hypertropic osteoarthropathy primary	PHO AUTOSOMAL DOMINANT|^|PACHYDERMOPERIOSTOSIS AUTOSOMAL DOMINANT|^|PDP AUTOSOMAL DOMINANT|^|PHO AUTOSOMAL RECESSIVE|^|PACHYDERMOPERIOSTOSIS AUTOSOMAL RECESSIVE|^|PDP AUTOSOMAL RECESSIVE|^|TOURAINE SOLENTE GOLE SYNDROME|^|PACHYDERMOPERIOSTOSIS AUTOSOMAL RECESSIVE|^|PDP AUTOSOMAL RECESSIVE
OMIM:PS256300	Nephrotic syndrome	FINNISH CONGENITAL NEPHROSIS|^|CNF|^|NEPHROTIC SYNDROME CONGENITAL|^|NEPHROTIC SYNDROME STEROID RESISTANT AUTOSOMAL RECESSIVE|^|SRN1|^|NEPHROTIC SYNDROME EARLY ONSET TYPE 3|^|NEPHROTIC SYNDROME TYPE 7 WITH MEMBRANOPROLIFERATIVE GLOMERULONEPHRITIS
OMIM:PS157600	Mirror movements	MIRROR MOVEMENTS CONGENITAL|^|BIMANUAL SYNERGIA
OMIM:PS136760	Frontonasal dysplasia	FRONTORHINY|^|FRONTONASAL DYSPLASIA|^|FND|^|FRONTONASAL MALFORMATION|^|FNM|^|MEDIAN FACIAL CLEFT SYNDROME
OMIM:PS248370	Mandibuloacral dysplasia with lipodystrophy	LIPODYSTROPHY TYPE A ASSOCIATED WITH MANDIBULOACRAL DYSPLASIA|^|CRANIOMANDIBULAR DERMATODYSOSTOSIS|^|LIPODYSTROPHY TYPE B ASSOCIATED WITH MANDIBULOACRAL DYSPLASIA
OMIM:PS151100	LEOPARD syndrome	LENTIGINOSIS CARDIOMYOPATHIC|^|MULTIPLE LENTIGINES SYNDROME
OMIM:PS231090	Hydatidiform mole recurrent	HYDATIDIFORM MOLE|^|HYDM|^|HYDATIDIFORM MOLE COMPLETE|^|CHM|^|GESTATIONAL TROPHOBLASTIC DISEASE|^|HYDATIDIFORM MOLE COMPLETE
OMIM:PS601144	Brugada syndrome	RIGHT BUNDLE BRANCH BLOCK ST SEGMENT ELEVATION AND SUDDEN DEATH SYNDROME|^|SUDDEN UNEXPLAINED NOCTURNAL DEATH SYNDROME|^|SUNDS
OMIM:PS148300	Keratoconus	
OMIM:PS108600	Spastic ataxia	SPASTIC ATAXIA WITH CONGENITAL MIOSIS|^|MIOSIS CONGENITAL WITH SPASTIC ATAXIA|^|SPASTIC ATAXIA 6 AUTOSOMAL RECESSIVE|^|SPAX6|^|CHARLEVOIX SAGUENAY SPASTIC ATAXIA|^|AUTOSOMAL RECESSIVE SPASTIC ATAXIA OF CHARLEVOIX SAGUENAY|^|ARSACS|^|AUTOSOMAL RECESSIVE SPASTIC ATAXIA WITH LEUKOENCEPHALOPATHY|^|ARSAL
OMIM:PS109730	Aortic valve disease	AORTIC VALVE DISEASE|^|BICUSPID AORTIC VALVE|^|BAV|^|AORTIC VALVE BICUSPID|^|AORTIC VALVE CALCIFICATION OF|^|AORTIC STENOSIS CALCIFIC|^|BICUSPID AORTIC VALVE|^|AORTIC VALVE STENOSIS
OMIM:PS137950	Glomerulopathy with fibronectin deposits	GLOMERULOPATHY WITH GIANT FIBRILLAR DEPOSITS|^|LOBULAR GLOMERULOPATHY FAMILIAL|^|GLOMERULAR NEPHRITIS FAMILIAL WITH FIBRONECTIN DEPOSITS|^|FIBRONECTIN GLOMERULOPATHY
OMIM:PS612286	Nephrolithiasis osteoporosis hypophosphatemic	
OMIM:PS163950	Noonan syndrome	NOONAN SYNDROME|^|MALE TURNER SYNDROME|^|FEMALE PSEUDO TURNER SYNDROME|^|TURNER PHENOTYPE WITH NORMAL KARYOTYPE
OMIM:PS135300	Gingival fibromatosis	GINGF|^|GGF1|^|FIBROMATOSIS GINGIVAL HEREDITARY|^|HGF|^|GGF2|^|FIBROMATOSIS GINGIVAL HEREDITARY 2|^|HGF2|^|GGF3|^|FIBROMATOSIS GINGIVAL HEREDITARY 3|^|HGF3|^|GGF4|^|FIBROMATOSIS GINGIVAL HEREDITARY 4|^|HGF4
OMIM:PS254090	Ullrich congenital muscular dystrophy	ULLRICH CONGENITAL MUSCULAR DYSTROPHY|^|UCMD|^|MUSCULAR DYSTROPHY SCLEROATONIC|^|ULLRICH DISEASE|^|ULLRICH SCLEROATONIC MUSCULAR DYSTROPHY
OMIM:PS133780	Exudative vitreoretinopathy	EXUDATIVE VITREORETINOPATHY FAMILIAL AUTOSOMAL DOMINANT|^|FEVR AUTOSOMAL DOMINANT|^|CRISWICK SCHEPENS SYNDROME|^|EXUDATIVE VITREORETINOPATHY FAMILIAL 2|^|EVRX|^|FEVR X LINKED|^|FEVRX
OMIM:PS162091	Schwannomatosis	NEURILEMMOMATOSIS CONGENITAL CUTANEOUS
