relation_id	relation_name	gene_words	hpoterm_words	words	sentences_before	sentences_after	expectation	gene_expectation	hpoterm_expectation	features	weights
RELATION_GENEHPOTERM_journal.pone.0098718.pdf_591_591_3_3_14_15	GNAS/HP:0001737|Pancreatic cysts	{3}	{14,15}	{independent,association,of,GNAS,mutations,with,the,development,of,multiple,cysts,in,cases,with,pancreatic,cysts,and,Marco,et,al,reported,that,IPMN,with,an,intestinal,phenotype,has,always,been,associated,with,GNAS,mutations,[,"10,31",],.}	{"OO98718 .",gOO4}	{"Our data conﬁrmed the speciﬁcity of GNAS mutations to IPMN and suggested a functional role of GNAS mutations in the formation of IPMN .","In particular , since MPD dilatation without obstruction in IPMN has been generally considered to be the result of mucus hypersecretion , GNAS mutations may have a role in the upregulation of mucus hypersecretion ."}	0.976	0.952	1	{GENE_NGRAM_RIGHT_1_[mutation],GENE_NGRAM_LEFT_1_[of],HPO_NGRAM_RIGHT_1_[and],VERB_[associate],MIN_VERB_[report],HPO_NGRAM_LEFT_1_[with],VERB_[[],VERB_[have],VERB_[be],VERB_[report]}	{2.63586,1.38319,-0.560082,0.413389,-0.354138,0.285141,0.18615,0.156579,-0.125888,-0.0216741}
RELATION_GENEHPOTERM_journal.pone.0086784.pdf_38_38_3_3_16_16	ETV1/HP:0100242|Sarcoma	{3}	{16}	{In,pathology,",",ETV1,functions,in,Ewing,’s,sarcomas,through,a,fusion,with,the,Ewing,’s,sarcoma,gene,(,Ews,),and,promotes,the,metastasis,of,prostate,cancer,(,reviewed,in,Oh,et,al.,",",2012,),[,40,],.}	{"p | osone.org 1 January 2014 | Volume 9 | Issue 1 | e86784","known to contribute to the formation of dopaminergic neurons through the regulation of various dopamine transport and synthesis genes and also contributes to formation of proper connections between group 1a sensory afferents and motor neurons [ 38,39 ] ."}	{"Our work employs both Xenopus laevis embryos and mammalian cell-line based assays and supports the interaction of Pkp3-catenin with ETV1 on both biochemical and functional grounds .","\\\\ / V e further ﬁnd that Pkp3-catenin associates with ETV5 , which is closely related to ETV1 and belongs to the same threemember Polyomavirus enhancer activator 3 ( PEA3 ) - subgroup of Ets-family members ."}	0.98	0.868	1	{HPO_NGRAM_LEFT_1_[’s],"GENE_NGRAM_LEFT_1_[,]",VERB_[review],VERB_[promote],MIN_VERB_[promote],GENE_NGRAM_RIGHT_1_[function],HPO_NGRAM_RIGHT_1_[gene]}	{2.24856,1.35772,0.600707,-0.355071,-0.352143,0.295413,-0.0483961}
RELATION_GENEHPOTERM_SCPDFS_26066.pdf_84_84_63_63_9_9	PTEN/HP:0001909|Leukemia	{63}	{9}	{Loss-of-function,mutation,APC,0.69,Colon,ATM,0.64,Lymphomas,",",leukemias,BRCA1,0.71,Breast,",",ovary,BRCA2,0.57,Breast,or-catenin,0.95,Prostate,[,3-catenin,0.83,Colon,Cbl,1.08,Lymphoma,DCC,0.94,Colon,",",esophagus,E-cadherin,1.06,Lobular,breast,cancer,Hamartin,0.93,Hamartomas,(,in,tuberous,sclerosis,),NF1,0.78,Neuroﬁbroma,p53,1.24,Breast,",",lung,",",other,pRb,0.58,Retinoblastoma,",",osteosarcoma,",",breast,PTEN,0.62,Prostate,",",breast,TGFBII,receptor,0.72,Colon,",",ovary,WT1,1.12,Wilms,tumor,Gene,ampliﬁcation,ErbB2,1.54,Breast,",",ovary,",",stomach,Cyclin,D1,1.38,Breast,",",head,and,neck,ER-or,1.34,Breast,(,Nembrot,et,al.,",",1990,),c-Myc,1.34,Breast,",",ovary,N-Myc,1.75,Neuroblastoma,Hst,1.36,Head,and,neck,Gli,1.42,Pediatric,sarcoma,EGFR,1.04,Brain,",",head,and,neck,Met,0.81,Brain,",",stomach,Myb,0.75,Brain,PDGFR-or,0.75,Brain,Chromosomal,translocation,Abl,1.57,Chronic,myeloid,leukemia,Bcr,1.76,Chronic,myeloid,leukemia,RAROL,1.68,Acute,promyelocytic,leukemia,Pml,1.75,Acute,promyelocytic,leukemia,Ig,light,chain,1.33,Burkitt,’s,lymphoma,c-Myc,1.34,Burkitt,’s,lymphoma,Ig,heavy,chain,1.63,Follicular,lymphoma,Bcl-2,1.81,Follicular,lymphoma,Cyclin,D1,1.38,Mantle,cell,lymphoma}	{"Table 2 Nucleotide composition of human tumor-associated genes","Genea GC : AT \\" Tumor types “"}	{"3 Gene abnormalities and corresponding tumor types were identiﬁed by Medline literature search by searching a group of terms [ for example , ‘ mutation and ( loss of function or loss-of-function ) and ( cancer or tumor ) and human and gene ’ ] . \\"","Codon nucleotide analyses were undertaken using either published sequences or Genbank data ; statistical signiﬁcance ( see text ) was determined using a two-sample t-test ."}	0.914	0.044	1	{HPO_NGRAM_RIGHT_1_[brca1],GENE_NGRAM_RIGHT_1_[0.62],GENE_NGRAM_LEFT_1_[breast],"HPO_NGRAM_LEFT_1_[,]"}	{0.795997,0.781386,0.781386,-0.048381}
RELATION_GENEHPOTERM_journal.pone.0096911.pdf_277_277_30_30_23_23	PI3/HP:0001009|Telangiectasia	{30}	{23}	{Savitsky,K,",",Bar-Shira,A,",",Gilad,S,",",Rotman,G,",",Ziv,Y,",",et,al.,(,1995,),A,single,ataxia,telangiectasia,gene,with,a,product,similar,to,PI3,kinase,.}	{"Cell Cycle 6 : 9314342 .","7 ."}	{"Science 268 : l749 — 1753 .","8 ."}	0.974	0.684	0.874	{HPO_NGRAM_LEFT_1_[ataxia],GENE_NGRAM_LEFT_1_[to],INV_WORD_SEQ_LEN_[6],GENE_NGRAM_RIGHT_1_[kinase],HPO_NGRAM_RIGHT_1_[gene],INV_DEP_PATH_[nn-prep_to|kinase-amod|similar-prep_with|product@nn-dep|gene-dobj|NUMBER],"INV_WORD_SEQ_NER_[gene with a product similar to]","INV_WORD_SEQ_[gene with a product similar to]"}	{2.60423,0.897152,-0.457977,0.432851,-0.0483961,0,0,0}
RELATION_GENEHPOTERM_journal.pone.0095253.pdf_36_36_48_48_59_61	FOG/HP:0001636|Tetralogy of Fallot	{48}	{59,61}	{FOG,—,2,deﬁcient,murine,embryos,have,severe,cardiac,malformations,resulting,in,embryonic,lethality,[,"6,7",],and,this,phenotype,is,recapitulated,to,a,large,extent,in,transgenic,GATA,—,4,embryos,that,have,a,knock-in,mutation,that,prevents,a,GATA-4,/,FOG,—,2,interaction,Similarly,",",FOG,—,2,polymorphisms,are,associated,with,the,congenital,heart,disease,Tetralogy,of,Fallot,revealing,conserved,FOG,—,2,function,in,human,heart,development,[,9,],.}	{"GATA — 4 , a well-known enhancer of cardiac development [ 3 ] has an indispensable functional interaction with FOG — 2 .","FOG — 2 and GATA — 4 are co — expressed in both the developing and adult heart [ 4 ] and FOG — 2 regulates GATA — 4 transcriptional activity on cardiac speciﬁc genes atrial natriuretic peptide ( ANP ) , b-type natriuretic peptide ( BNP ) and alpha myosin heavy chain ( OLMHC ) [ 4,5 ] ."}	{"In addition to their role in development , GATA — 4 and FOG — 2 have functional roles in regulation of the adult heart , both shown to participate in the regulation of cardiac hypertrophy [ 2,10,1 l ] .","Given the importance of FOG — 2 in cardiomyocyte biology as a GATA — 4 cofactor , we hypothesised that FOG — 2 may bridge other novel transcription factors into the cardiac regulatory network as a protein cofactor ."}	0.922	0.976	0.774	{VERB_[recapitulate],"GENE_NGRAM_LEFT_1_[,]",GENE_NGRAM_RIGHT_1_[—],VERB_[associate],VERB_[reveal],MIN_VERB_[associate],HPO_NGRAM_LEFT_1_[disease],VERB_[conserve],HPO_NGRAM_RIGHT_1_[reveal],VERB_[have],VERB_[prevent],VERB_[be],VERB_[result]}	{2.28787,1.35772,-0.977389,0.413389,-0.358854,-0.333532,0.310993,-0.210038,0.201734,0.156579,-0.129806,-0.125888,0.045428}
RELATION_GENEHPOTERM_journal.pone.0055930.pdf_688_688_47_47_34_34	CLC/HP:0002486|Myotonia	{47}	{34}	{Papponen,H,",",Nissinen,l,"\\\\",’,I,",",Kaisto,T,",",Nlyllyla,VV,",",l,"\\\\",’,Iyllyla,R,",",et,al.,(,2008,),F41,3C,and,A53lV,',but,not,R894X,myotonia,congenita,mutations,cause,defective,endoplasmic,reticulum,export,of,the,muscle-speciﬁc,chloride,channel,CLC,—,1,.}	{"Neurology 53 : 297 — 302 .","25 ."}	{"Muscle Nerve 37 : 3l7 — 325 .","26 ."}	0.952	0.69	0.966	{GENE_NGRAM_LEFT_1_[channel],INV_SINGLE_VERB_[cause],GENE_NGRAM_RIGHT_1_[—],HPO_NGRAM_RIGHT_1_[congenita],INV_MIN_VERB_[cause],HPO_NGRAM_LEFT_1_[r894x]}	{2.86892,1.26289,-0.977389,-0.757041,0.624858,0}
RELATION_GENEHPOTERM_journal.pone.0000109.pdf_143_143_180_180_62_63	NS/HP:0001658|Myocardial infarction	{180}	{62,63}	{0r1,>,Chronic,bronchitis,or,emphysema,of,the,lung,9.5,8.9,NS,"}",>,Asthma,4.2,6.0,<,0.001,@,>,Allergic,rhinitis,",",e.g.,",",hay,fever,24.1,31.3,<,0.001,3,High,blood,pressure,27.7,24.7,<,0.001,`,),>,Hypertension,5.7,4.8,0.003,@,$,>,High,cholesterol,14.1,13.2,0.047,>,Diabetes,2.2,2.1,NS,ݳ,>,Myocardial,infarction,0.7,0.7,NS,>,Angina,pectoris,1.6,1.5,NS,P˲,>,Arterial,fibrillation,or,flutter,1.4,1.4,NS,3,Stroke,0.3,0.2,NS,PH,>,Other,disorder,of,the,brain,circulation,1.4,1.3,NS,o,>,Gastric/duodenal,ulcer,6.1,5.0,<,0.001,@,>,Liver,disease,1.4,1.3,NS,3,Kidney,disease,2.5,2.0,0.017,Rheumatoid,arthritis,2.0,1.7,0.047,t,>,Osteoarthritis,7.2,5.5,NS,3,Sciatica,15.8,13.5,<,0.001,П,>,>,Grey,cataract,or,glaucoma,1.2,1.0,NS,pc,>,Migraine,20.9,18.3,<,0.001,3,Epilepsy,1.4,1.1,NS,o,',>,Brain,damage,(,more,serious,than,concussion,),0.9,0.8,NS,o,>,Meningitis,or,cerebrospinal,meningitis,2.1,1.8,NS,B,>,>,Other,brain,or,neurological,disease,1.6,1.7,NS,3,Depression,12.6,11.3,0.006,=,>,Panic,attack,5.6,4.3,<,0.001,P,=,>,Anorexia,",",bulimia,1.8,1.8,NS,Other,mental,disturbance,3.0,2.9,NS,>,Malignant,growth,(,cancer,),1.7,1.7,NS}	{"Having a pet","` @ > DISEASE INDICATORS Yes No P value"}	{"> “ Combines categories no/not wanted and no/impossible to keep .","I doi :10.1371 / journa | ."}	0.984	0.08	1	{INV_VERB_[flutter],INV_MIN_VERB_[pectori],HPO_NGRAM_LEFT_1_[>],GENE_NGRAM_RIGHT_1_[b],INV_VERB_[pectori],GENE_NGRAM_LEFT_1_[1.8],HPO_NGRAM_RIGHT_1_[0.7]}	{3.74169,1.95511,-1.28462,-0.81673,0.33952,0.274391,-0.0557834}
RELATION_GENEHPOTERM_journal.pone.0002353.pdf_52_52_31_31_11_11	FLI/HP:0100242|Sarcoma	{31}	{11}	{The,E,WS,gene,was,ﬁrst,cloned,from,the,Ewing,’s,sarcoma,chromosomal,breakpoint,",",where,the,translocation,generates,a,fusion,between,E,WS,and,an,ETS-family,transcription,factor,gene,",",FLI,—,],[,7,],.}	{"` $ | PLoS ONE | www .","p | osone.org transcription factor , EWS/WT1 , which underlies the oncogenesis of DSRCT ."}	{"EWS encodes a putative RNA binding protein , which together with TLS/FUS and TAFII68/TAFl5 form the TET family of proteins with presumptive roles in transcription and splicing [ 8 ] .","The NTD of EWS mediates potent transcriptional activation when fused to a heterologous DNA binding domain [ 9 ] , while its C-terminal domain , which is lost in the translocation gene product , is involved in RNA recognition [ 10 ] ."}	0.908	0.906	1	{HPO_NGRAM_LEFT_1_[’s],"GENE_NGRAM_LEFT_1_[,]",GENE_NGRAM_RIGHT_1_[—],HPO_NGRAM_RIGHT_1_[chromosomal],INV_VERB_[generate],INV_VERB_[be],INV_VERB_[clone],INV_MIN_VERB_[generate]}	{2.24856,1.35772,-0.977389,0.569393,-0.469692,-0.247002,-0.205998,-0.132723}
RELATION_GENEHPOTERM_journal.pone.0052811.pdf_322_322_54_54_18_18	CD23/HP:0002665|Lymphoma	{54}	{18}	{Furthermore,",",many,types,of,small,B,lymphoid,neoplasms,can,display,plasmacytic,differentiation,and,a,phenotype,resembling,lymphoplasmacytic,lymphoma,",",the,latter,consists,of,small,lymphocytes,",",plasmacytoid,lymphocytes,and,plasma,cells,expressing,IgM,and,pan-B-cell,antigens,",",such,as,CD19,",",CD20,and,CD22,",",and,usually,negative,for,CD5,",",CD10,and,CD23,.}	{"Unfortunately , we lack much information about the patient ; however , bone marrow cell morphology and immunophenotype are in agreement with the diagnosis of atypical , non-CLL B-cell chronic lymphoproliferative disease with plasmacytic features .","Low-grade B-cell lymphoproliferative disorders , such as CLL / small lymphocytic lymphoma and marginal zone B-cell lymphoma may have overlapping features , thus making the differential diagnosis sometimes difficult ."}	{"As we lack information about serum IgM paraprotein , we concluded as a case of atypical B-chronic lymphoproliferative disease with plasmacytic differentiation , rather than a plasmacytic lymphoma .","Among lymphoproliferative disorders , VRO9 cell line presents features of DLBCL with plasmacytic differentiation , with medium to large sized and plasmablastic/plasmacytic-like cells , high Ki-67 index and activated phenotype according to Hans ’ and new immunostaining algorithm [ 9 ] ."}	0.952	0.74	0.98	{HPO_NGRAM_LEFT_1_[lymphoplasmacytic],GENE_NGRAM_RIGHT_1_[.],INV_MIN_VERB_GENE_[resemble],GENE_NGRAM_LEFT_1_[and],INV_MIN_VERB_HPO_[express],"HPO_NGRAM_RIGHT_1_[,]",INV_VERB_[express],INV_VERB_[display],INV_VERB_[consist],INV_VERB_[resemble]}	{4.02303,-1.49336,-1.3719,0.988288,-0.520517,-0.507957,0.329773,0.31037,0.303906,0.29578}
RELATION_GENEHPOTERM_journal.pone.0009977.pdf_269_269_11_11_28_28	MCAM/HP:0002861|Melanoma	{11}	{28}	{B,),PAX3,(,mouse,monoclonal,antibody,",",DSHB,),and,MCAM,co,—,expression,in,normal,skin,(,epidermal,melanocytes,),",",naevus,",",primary,melanoma,and,melanoma,metastasis,.}	{"Co-expression of PAX3 with markers of cell survival and migration in melanocytic and melanoma cells .","A ) Double immunofluorescent staining showing PAX3 ( mouse monoclonal antibody , DSHB ) and BCLZL1 co — expression in representative samples of normal skin , naevus , primary melanoma and melanoma metastasis ."}	{"Lines in ( A ) and ( B ) demarcate the epiderma | .","— ."}	0.948	0.526	1	{GENE_NGRAM_RIGHT_1_[co],GENE_NGRAM_LEFT_1_[and],HPO_NGRAM_LEFT_1_[and],HPO_NGRAM_RIGHT_1_[metastasis]}	{1.77516,0.988288,0.337784,-0.0850544}
