relation_id	relation_name	gene_words	hpoterm_words	words	sentences_before	sentences_after	expectation
RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_44220.pdf_265_265_4_4_7_8_UNSUP	insulin/HP:0000819|Diabetes mellitus	{4}	{7,8}	{T-cell,receptor,genes,and,insulin,—,dependent,diabetes,mellitus,(,IDDM,),:,No,evidence,for,linkage,from,affected,sib,pairs,.}	{"Cell 9 : 91 .","Concarinon , P. , Wright , J. A. , Wright , L. G. , and Sylvester , D. R. ( 1990 ) ."}	{"Am .","J. Hum ."}	0.984
RELATION_GENEHPOTERM_journal.pone.0039989.pdf_385_385_22_22_25_26	CD97/HP:0002890|Thyroid carcinoma	{22}	{25,26}	{Hoang-Vu,C,",",Bull,K,",",Schwarz,I,",",Krause,G,",",Schmutzler,C,",",et,al.,(,1999,),Regulation,of,CD97,protein,in,thyroid,carcinoma,.,]}	{"Am ] Pathol161 : 16574667 .","10 ."}	{"Clin Endocrinol l \\\\ ’ 1etab 84 : 1104 — 1109 .","11 . ]"}	0.812
RELATION_GENEHPOTERM_journal.pone.0014085.pdf_171_171_281_281_146_146	CD24/HP:0002665|Lymphoma	{281}	{146}	{NOT,transcription,complex,",",subunit,6,/,/,5q35,.3,7.7295,e,—,009,—,1.52,7963054,NM_006009,/,/,TUBA1A,/,/,tubulin,",",alpha,1a,/,/,12q12,—,q14,2.2166,e,~,008,—,2.04,8117640,NM_025231,/,/,ZSCAN16,/,/,zinc,ﬁnger,and,SCAN,domain,containing,16,/,/,6p22,.1,3.8797,e,—,008,—,1.55,8047127,NM_001130158,/,/,MYO1B,/,/,myosin,|,B,/,/,2q12,—,q34,4.4570,e,~,008,—,2.43,8113504,NM_004772,/,/,C5orf13,/,/,chromosome,5,open,reading,frame,13,/,/,5q22,.1,1.6184,e,—,007,—,1.78,8077370,NM_006515,/,/,SETMAR,/,/,SET,domain,and,mariner,transposase,fusion,gene,/,/,3p26,.1,2.4819,e,»,007,—,1.58,8069880,NM_003253,/,/,',|,',|,AM1,/,/,T,—,ce,|,|,lymphoma,invasion,and,metastasis,1,/,/,21q22,.1,|,21q22,2.6924,e,—,007,—,1.71,8169073,NM_194324,/,/,TMSB15B,/,/,thymosin,beta,15B,/,/,Xq22,.2,2.7046,e,~,007,—,1.70,7925550,NM_001126,/,/,ADSS,/,/,adenylosuccinate,synthase,/,/,1cen,—,q12,2.7195,e,—,007,—,1.72,8005458,NM_001040078,/,/,LGALS9C,/,/,Iectin,",",galactoside-binding,",",soluble,",",9C,/,/,17p11,.2,/,4.1908,e,~,007,—,1.69,8170468,NM_005342,/,/,HMGB3,/,/,high,—,mobi,|,ity,group,box,3,/,/,Xq28,4.9152e-007,—,1.53,8013450,NM_001042685,/,/,LGALS9B,/,/,Iectin,",",ga,|,actoside,—,binding,",",soluble,",",9B,/,/,17p11,.2,8.6597,e,~,007,—,1.71,8177222,NM_013230,/,/,CD24,/,/,CD24,molecule,/,/,6q21,9.3981,e,—,007,—,2.20,8102311,NM_001226,/,/,CASP6,/,/,caspase,6,",",apoptosis,—,re,|,ated,cysteine,peptidase,/,/,4q25,1.1825,e,»,006,—,1.58,8091103,NM_006286,/,/,',|,',FDP2,/,/,transcription,factor,Dp,—,2,(,E2F,dimerization,partner,2,),1.2042,e,—,006,—,1.61,7930882,NM_207009,/,/,FAM45A,/,/,family,with,sequence,similarity,45,",",member,A,/,/,10q25,1.2641,e,»,006,—,1.51,8127109,NM_016513,/,/,ICK,/,/,intestinal,cell,(,MAK,—,|,ike,),kinase,/,/,6p12,.1,3.0653,e,—,006,—,1.67,8116051,NM_080881,/,/,DBN1,/,/,drebrin,1,/,/,5q35,.3,3.4139,e,~,006,—,1.71,8005809,NM_009587,/,/,LGALS9,/,/,lectin,",",ga,|,actoside,—,binding,",",soluble,",",9,/,/,17q11,.2,/,/,396,3.8368,e,—,006,—,1.86,8135915,NM_013332,/,/,C7orf68,/,/,chromosome,7,open,reading,frame,68,/,/,7q32,.1,4.6540,e,»,006,—,2.24,8150186,NM_024787,/,/,RNF122,/,/,ring,ﬁnger,protein,122,/,/,8p12,6.2295,e,—,006,—,1.85,8075263,NM_003634,/,/,NIPSNAP1,/,/,nipsnap,homolog,1,(,C.,elegans,),/,/,22q12,.2,6.4654,e,»,006,—,1.56,8074780,NM_013313,/,/,YPEL1,/,/,yippee,—,|,ike,1,(,Drosophila,),/,/,22q11,.2,2.6161,e,—,005,—,1.99,7930181,NM_020682,/,/,AS3MT,/,/,arsenic,(,+3,oxidation,state,),methyltransferase,/,/,10q24,.32,0.0001,—,1.56}	{"8174189 NM_021992 / / ' | ' MSB15A / / thymosin beta 15a / / Xq21 .33 — q22 .3 6.9064e-010 — 3.94 8040070 NM_003108 / / SOX11 / / SRY ( sex determining region Y ) » box 11 / / 2p25 4.3570 e » 009 — 3.05 8110589 NM_015455 / / CNOT6 / / CCR4 .","— ."}	{"#Gene expression levels were assayed using the Affymetrix GeneChip Human Gene 1.0 ST Array .","* SOX11 siRNA vs. negative control siRNA transfected Granta 519 cells ."}	0.4
RELATION_GENEHPOTERM_SCPDFS_45114.pdf_8_8_37_37_12_13	GLR/HP:0004912|Hypophosphatemic rickets	{37}	{12,13}	{We,undertook,linkage,analysis,in,four,large,North,Carolina,kindreds,with,X-linked,hypophosphatemic,rickets,(,HYP,),using,a,newly,deﬁned,polymorphic,probe,",",derived,from,the,5,’,untranslated,portion,of,the,human,glycine,receptor,(,GLR,),.}	{"Zentrum Molekulare Biologic , Universitat Heidelberg , Heidelberg , Federal Republic of Germany","Received November 9 , 1989 ; revised February 26 , 1990"}	{"Two-point linkage analysis established linkage between GLR and HYP [ Z ( 9 ) = 7.9 1 at o = 0.07 ] and conﬁrmed linkage between HYP and DXS4l [ Z ( 9 ) = 8.31 at o = 0.06 ] and DXS43 [ Z ( 9 ) = 5.94 at o = 0.05 ] .","Additionally , we found GLR tightly linked to DXS43 [ z ( r9 ) = 5.40 at o = o. o ] ."}	0.278
RELATION_GENEHPOTERM_journal.pone.0059421.pdf_224_224_25_25_29_30	insulin/HP:0000855|Insulin resistance	{25}	{29,30}	{Nlayer,EJ,",",Newman,B,",",Austin,IVIA,",",Zhang,D,",",Quesenberry,CPJr,",",et,al.,(,1996,),Genetic,and,environmental,influences,on,insulin,levels,and,the,insulin,resistance,syndrome,:,an,analysis,of,women,twins,.}	{"King H , Aubert RE , Herman VVH ( 1998 ) Global burden of diabetes , 19954 2025 : prevalence , numerical estimates , and projections .","Diabetes Care 21 : 141441431 ."}	{"AmJ Epidemiol 143 : 3234332 .","Hotamisligil GS , Budavari A , lVIurray D , Spiegelman BIVI ( 1994 ) Reduced tyrosine kinase activity of the insulin receptor in obesity-diabetes ."}	0.326
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0011140.pdf_40_40_5_5_31_31_UNSUP	NHL/HP:0002665|Lymphoma	{5}	{31}	{The,most,prevalent,forms,of,NHL,are,B-cell,malignancies,",",of,which,follicular,lymphoma,(,FL,),and,diffuse,large,B-cell,lymphoma,(,DLBCL,),comprise,the,majority,g,+,Burkitt,lymphoma,is,a,less,prevalent,form,of,NHL,characterized,by,translocation,of,the,c-myc,oncogene,to,the,Ig,heavy,chain,promoter,/,enhancer,region,[,3,],.}	{"Hodgkin ’s lymphoma ( NHL ) , signiﬁcant proportions of patients relapse with incurable disease .","Thus , effective treatments for NHL remain a serious unmet medical need , also considering that the incidence of NHL continues to rise [ 1 ] ."}	{"Accumulating evidence has shown that , similarly to solid tumors , the stromal cell component in NHL is not formed by innocent bystanders in the neoplastic process , but it is composed by cell types that might actively inﬂuence and promote the growth of the","+ PLoS ONE | www ."}	0.914
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0026021.pdf_808_808_29_29_22_22_UNSUP	DHDPSL/HP:0003159|Hyperoxaluria	{29}	{22}	{Nlonico,CG,",",Rossetti,S,",",Belostotsky,R,",",Cogal,AG,",",Herges,R,",",et,al.,(,201,1,),Primary,hyperoxaluria,type,III,gene,HOGAI,(,formerly,DHDPSL,),as,a,possible,risk,factor,for,idiopathic,calcium,oxalate,urolithiasis,.}	{"Belostotsky R , Seboun E , Idelson GH , l \\\\ ’ Iilliner DS , Becker-Cohen R , et al. ( 2010 ) l \\\\ ’ Iutations in DHDPSL Are Responsible For Primary Hyperoxaluria Type III .","Amj Hum Genet 87 : 392 — 399 ."}	{"Clin ] Am Soc Nephrol 62 2289 — 2295 .","Anderson NI , Scholtz Jl \\\\ ’ I , Schuster SIVI ( 1985 ) Rat liver 4-hydroxy-2 » ketoglutarate aldolase : purification and kinetic characterization ."}	0.814
RELATION_GENEHPOTERM_SCPDFS_50994.pdf_125_125_5_5_13_13	ECM/HP:0002097|Emphysema	{5}	{13}	{Protease,—,antiprotease,imbalance,and,ECM,remodeling,The,observations,that,(,i,),emphysema,can,be,induced,by,tracheal,elastase,instillation,",",(,ii,),or1,—,antitrypsin,(,an,antiprotease,),familial,deﬁciency,can,lead,to,early,—,onset,emphysema,and,(,iii,),oil-antitrypsin,deﬁciency,can,be,induced,by,cigarette,smoke,led,early,researchers,to,postulate,that,protease,—,antiprotease,imbalance,is,a,leading,cause,in,emphysema,.}	{"— .","1 , IL-6 , and IL-8 are increased in both diseases , but IL-17 has been reported to have a role in COPD only [ 4 ] ."}	{"Soon after , this was postulated in BPD also .","Increased BAL levels of neutrophil — elastase and cathepsins ( lysosomal proteases ) have indeed been found in BPD [ 20 ] ."}	0.218
RELATION_GENEHPOTERM_journal.pone.0058156.pdf_16_16_15_15_25_26	MCPH1/HP:0000388|Otitis media	{15}	{25,26}	{These,findings,not,only,recapitulated,the,defects,found,in,other,Mcphl,—,deficient,mice,or,MCPH1,patients,",",but,also,revealed,an,unexpected,phenotype,",",otitis,media,with,hearing,impairment,",",which,suggests,Mcphl,is,a,new,gene,underlying,genetic,predisposition,to,otitis,media,.}	{"Expression of Mcph1 in the epithelial cells of middle ear cavities supported its involvement in the development of otitis media .","Other defects of Mcph7 ’” ” \\" \\" ’ \\" ’“ mice included small skull sizes , increased micronuclei in red blood cells , increased B cells and ocular abnormalities ."}	{"Citation : Chen J , lngham N , Clare 5 , Raisen C , Vancollie VE , et al. ( 2013 ) Mcph1 .","— ."}	0.618
RELATION_GENEHPOTERM_journal.pone.0043398.pdf_274_274_379_379_337_337	ARAF/HP:0100522|Thymoma	{379}	{337}	{Ruppin,A-2,),viral,oncogene,homolog,(,avian,),SRC,3,—,phosphoinositide,dependent,protein,kinase,—,1,PDPK1,RPTOR,independent,companion,of,MTOR,",",complex,2,RICTOR,eukaryotic,translation,initiation,factor,4E,binding,protein,1,E,|,F4EBP1,eukaryotic,translation,initiation,factor,4E,family,member,2,E,|,F4E2,hypothetical,LOC100271831,;,mitogen,—,activated,protein,kinase,3,MAPK3,mitogen,—,activated,protein,kinase,1,MAPK1,protein,kinase,",",AMP,»,activated,",",alpha,1,catalytic,subunit,PRKAA1,regulatory,associated,protein,of,MTOR,",",complex,1,RPTOR,ribosomal,protein,S6,kinase,",",90,kDa,",",polypeptide,1,RPS6KA1,ribosomal,protein,S6,kinase,",",90,kDa,",",polypeptide,3,RPS6KA3,ribosomal,protein,S6,pseudogene,25,;,ribosomal,protein,S6,;,ribosomal,protein,S6,pseudogene,1,RPS6,serine/threonine,kinase,11,STK11,similar,to,eukaryotic,translation,initiation,factor,4H,;,eukaryotic,translation,initiation,factor,4B,E,|,F4B,tuberous,sclerosis,1,TSC1,tuberous,sclerosis,2,TSC2,v,—,akt,murine,thymoma,viral,oncogene,homolog,1,AKT1,v,—,akt,murine,thymoma,viral,oncogene,homolog,2,AKT2,v,—,akt,murine,thymoma,viral,oncogene,homolog,3,(,protein,kinase,B,",",gamma,),AKT3,v,—,raf,murine,sarcoma,viral,oncogene,homolog,B1,BRAF,SHC,(,Src,homology,2,domain,containing,),transforming,protein,1,SHC1,SHC,(,Src,homology,2,domain,containing,),transforming,protein,3,SHC3,calcium/ca,|,modu,|,in,—,dependent,protein,kinase,II,delta,CAMK2D,calcium/ca,|,modu,|,in,~,dependent,protein,kinase,II,gamma,CAMK2G,epidermal,growth,factor,receptor,(,erythroblastic,leukemia,viral,(,v,—,erb,—,b,),oncogene,homolog,",",avian,),EGFR,hypothetical,LOC100271831,;,mitogen,—,activated,protein,kinase,3,MAPK3,mitogen,—,activated,protein,kinase,1,MAPK1,mitogen,»,activated,protein,kinase,kinase,2,pseudogene,;,mitogen,»,activated,protein,kinase,kinase,2,MAP2K2,platelet,—,derived,growth,factor,receptor,",",alpha,polypeptide,PDGFRA,protein,kinase,C,",",alpha,PRKCA,protein,kinase,C,",",beta,PRKCB,retinoblastoma,1,RB1,tumor,protein,p53,TP53,v,—,akt,murine,thymoma,viral,oncogene,homolog,1,AKT1,v,—,akt,murine,thymoma,viral,oncogene,homolog,2,AKT2,v,—,akt,murine,thymoma,viral,oncogene,homolog,3,(,protein,kinase,B,",",gamma,),AKT3,v,—,raf,murine,sarcoma,3611,viral,oncogene,homolog,ARAF,v,—,raf,murine,sarcoma,viral,oncogene,homolog,B1,BRAF,v,—,raf,—,1,murine,leukemia,viral,oncogene,homolog,1,RAF1,CHK1,checkpoint,homolog,(,S.,pombe,),CHEK1,E1A,binding,protein,p300,EP300,MAD1,mitotic,arrest,deﬁcient,—,|,ike,1,(,yeast,),MAD1L1,S,—,phase,kinase,—,associated,protein,1,SKP1,S,—,phase,kinase,—,associated,protein,2,(,p45,),SKP2,SMAD,family,member,2,SMAD2,WEE1,homolog,(,S.,pombe,),WEE1,anaphase,promoting,complex,subunit,1,;,similar,to,anaphase,promoting,complex,subunit,1,ANAPC1,anaphase,promoting,complex,subunit,4,ANAPC4,ataxia,telangiectasia,and,Rad3,related,;,similar,to,ataxia,telangiectasia,and,Rad3,related,protein,ATR}	{"Cell Cycle v — src sarcoma ( Schmidt .","— ."}	{"8 August 2012 | Volume 7 | Issue 8 | e43398","Table 2 ."}	1
